,ammonia,hydrogen,methane,nitrogen
x^4,-4.598511007203028e-13,6.350521800687126e-12,-7.98790734915961e-13,-3.046395915555862e-14
x^3,1.344802431347587e-10,-6.092022846151301e-09,1.175846316186856e-09,9.058631374053837e-11
x^2,4.7483400853106843e-07,1.5204953839841104e-06,-4.7011317027699574e-07,-1.0733731784546984e-07
x^1,-0.00018052455939480432,0.0005240555672274736,0.00019001749782481545,0.00011533729137079268
x^0,0.03661632147442908,0.005790916457926858,-0.005568750944246059,-0.001171207480304657
