LF,Optimal_AR,Min_BOR,Cryogen
0.05,0.4691691691691692,0.0190281232220311,LH2_rq03
0.0545226130653266,0.4687687687687688,0.0174561317890629,LH2_rq03
0.0590452261306532,0.4685685685685686,0.0161249526603763,LH2_rq03
0.0635678391959799,0.4681681681681682,0.0149831871227836,LH2_rq03
0.0680904522613065,0.467967967967968,0.013993092171798,LH2_rq03
0.0726130653266331,0.4677677677677678,0.0131263281157546,LH2_rq03
0.0771356783919598,0.4673673673673674,0.0123612014213086,LH2_rq03
0.0816582914572864,0.4671671671671671,0.0116808247533118,LH2_rq03
0.086180904522613,0.4667667667667668,0.0110718555500059,LH2_rq03
0.0907035175879397,0.4665665665665665,0.0105236122585925,LH2_rq03
0.0952261306532663,0.4663663663663663,0.0100274427665192,LH2_rq03
0.0997487437185929,0.4659659659659659,0.0095762639098899,LH2_rq03
0.1042713567839195,0.4657657657657657,0.0091642214957709,LH2_rq03
0.1087939698492462,0.4655655655655655,0.0087864348298646,LH2_rq03
0.1133165829145728,0.4651651651651651,0.0084388022311678,LH2_rq03
0.1178391959798994,0.464964964964965,0.0081178518857088,LH2_rq03
0.1223618090452261,0.4645645645645645,0.0078206251958669,LH2_rq03
0.1268844221105527,0.4643643643643643,0.0075445852827801,LH2_rq03
0.1314070351758794,0.4641641641641642,0.0072875447006543,LH2_rq03
0.135929648241206,0.4637637637637637,0.0070476069999354,LH2_rq03
0.1404522613065326,0.4635635635635635,0.0068231199805911,LH2_rq03
0.1449748743718593,0.4633633633633633,0.0066126377213822,LH2_rq03
0.1494974874371859,0.4629629629629629,0.0064148891644741,LH2_rq03
0.1540201005025125,0.4627627627627627,0.0062287525657838,LH2_rq03
0.1585427135678392,0.4625625625625625,0.0060532342430695,LH2_rq03
0.1630653266331658,0.4621621621621621,0.005887450663774,LH2_rq03
0.1675879396984924,0.461961961961962,0.0057306137055394,LH2_rq03
0.1721105527638191,0.4617617617617617,0.0055820181280295,LH2_rq03
0.1766331658291457,0.4613613613613613,0.0054410308444783,LH2_rq03
0.1811557788944723,0.4611611611611612,0.0053070820228165,LH2_rq03
0.185678391959799,0.4609609609609609,0.0051796573873728,LH2_rq03
0.1902010050251256,0.4605605605605605,0.005058291512096,LH2_rq03
0.1947236180904522,0.4603603603603603,0.0049425622278994,LH2_rq03
0.1992462311557788,0.4601601601601601,0.0048320857444895,LH2_rq03
0.2037688442211055,0.4597597597597597,0.0047265122899382,LH2_rq03
0.2082914572864321,0.4595595595595595,0.0046255224602621,LH2_rq03
0.2128140703517587,0.4593593593593594,0.0045288240726578,LH2_rq03
0.2173366834170854,0.4589589589589589,0.0044361492193305,LH2_rq03
0.221859296482412,0.4587587587587587,0.004347251790422,LH2_rq03
0.2263819095477386,0.4585585585585585,0.0042619054445311,LH2_rq03
0.2309045226130653,0.4583583583583583,0.0041799015219152,LH2_rq03
0.2354271356783919,0.4579579579579579,0.0041010473582641,LH2_rq03
0.2399497487437185,0.4577577577577577,0.0040251648767546,LH2_rq03
0.2444723618090452,0.4575575575575575,0.0039520891667648,LH2_rq03
0.2489949748743718,0.4571571571571571,0.003881667270377,LH2_rq03
0.2535175879396985,0.456956956956957,0.003813757144766,LH2_rq03
0.2580402010050251,0.4567567567567567,0.0037482267511141,LH2_rq03
0.2625628140703517,0.4565565565565566,0.0036849531178111,LH2_rq03
0.2670854271356784,0.4561561561561562,0.00362382156657,LH2_rq03
0.271608040201005,0.4559559559559559,0.0035647251207538,LH2_rq03
0.2761306532663316,0.4557557557557558,0.0035075637916892,LH2_rq03
0.2806532663316582,0.4553553553553554,0.0034522440201821,LH2_rq03
0.2851758793969849,0.4551551551551551,0.0033986781677593,LH2_rq03
0.2896984924623115,0.4549549549549549,0.0033467841217821,LH2_rq03
0.2942211055276382,0.4547547547547548,0.0032964847880278,LH2_rq03
0.2987437185929648,0.4543543543543544,0.0032477077232417,LH2_rq03
0.3032663316582914,0.4541541541541541,0.0032003848211754,LH2_rq03
0.307788944723618,0.453953953953954,0.0031544519988993,LH2_rq03
0.3123115577889447,0.4537537537537537,0.0031098488669574,LH2_rq03
0.3168341708542713,0.4533533533533533,0.0030665184635407,LH2_rq03
0.321356783919598,0.4531531531531531,0.0030244070609579,LH2_rq03
0.3258793969849246,0.4529529529529529,0.0029834639196736,LH2_rq03
0.3304020100502512,0.4527527527527527,0.002943641065636,LH2_rq03
0.3349246231155778,0.4523523523523524,0.0029048930976877,LH2_rq03
0.3394472361809045,0.4521521521521521,0.0028671770583661,LH2_rq03
0.3439698492462311,0.451951951951952,0.0028304522557304,LH2_rq03
0.3484924623115578,0.4517517517517517,0.0027946800981718,LH2_rq03
0.3530150753768843,0.4513513513513514,0.0027598239598045,LH2_rq03
0.357537688442211,0.4511511511511512,0.0027258490755385,LH2_rq03
0.3620603015075376,0.450950950950951,0.0026927224373891,LH2_rq03
0.3665829145728643,0.4507507507507508,0.0026604126505274,LH2_rq03
0.3711055276381909,0.4503503503503503,0.0026288898487333,LH2_rq03
0.3756281407035176,0.4501501501501501,0.0025981255840444,LH2_rq03
0.3801507537688441,0.4499499499499499,0.0025680928075223,LH2_rq03
0.3846733668341708,0.4497497497497498,0.0025387657189563,LH2_rq03
0.3891959798994974,0.4495495495495495,0.0025101197173797,LH2_rq03
0.3937185929648241,0.4491491491491491,0.0024821313201544,LH2_rq03
0.3982412060301507,0.448948948948949,0.0024547781240367,LH2_rq03
0.4027638190954773,0.4487487487487488,0.0024280387424302,LH2_rq03
0.4072864321608039,0.4485485485485486,0.0024018927276233,LH2_rq03
0.4118090452261306,0.4483483483483483,0.0023763205301682,LH2_rq03
0.4163316582914572,0.4479479479479479,0.0023513034347297,LH2_rq03
0.4208542713567839,0.4477477477477478,0.0023268235552457,LH2_rq03
0.4253768844221105,0.4475475475475475,0.0023028637624922,LH2_rq03
0.4298994974874371,0.4473473473473473,0.0022794076424315,LH2_rq03
0.4344221105527638,0.4471471471471471,0.0022564394645447,LH2_rq03
0.4389447236180904,0.4467467467467467,0.0022339441338447,LH2_rq03
0.443467336683417,0.4465465465465465,0.0022119071903463,LH2_rq03
0.4479899497487437,0.4463463463463463,0.0021903147576499,LH2_rq03
0.4525125628140703,0.4461461461461461,0.0021691535079901,LH2_rq03
0.4570351758793969,0.4459459459459459,0.0021484106411383,LH2_rq03
0.4615577889447236,0.4455455455455455,0.0021280738534115,LH2_rq03
0.4660804020100502,0.4453453453453453,0.0021081313170945,LH2_rq03
0.4706030150753768,0.4451451451451451,0.0020885716776166,LH2_rq03
0.4751256281407034,0.4449449449449449,0.002069384000999,LH2_rq03
0.4796482412060301,0.4447447447447447,0.0020505577656498,LH2_rq03
0.4841708542713567,0.4445445445445445,0.00203208284311,LH2_rq03
0.4886934673366834,0.4441441441441441,0.0020139494714474,LH2_rq03
0.49321608040201,0.4439439439439439,0.0019961482568367,LH2_rq03
0.4977386934673366,0.4437437437437437,0.0019786701518677,LH2_rq03
0.5022613065326633,0.4435435435435435,0.0019615064283589,LH2_rq03
0.5067839195979899,0.4433433433433433,0.0019446486696957,LH2_rq03
0.5113065326633165,0.4431431431431431,0.0019280887570541,LH2_rq03
0.5158291457286431,0.4427427427427427,0.0019118188517336,LH2_rq03
0.5203517587939698,0.4425425425425426,0.0018958313880992,LH2_rq03
0.5248743718592964,0.4423423423423424,0.0018801190739276,LH2_rq03
0.5293969849246231,0.4421421421421422,0.0018646748575951,LH2_rq03
0.5339195979899497,0.441941941941942,0.0018494919264,LH2_rq03
0.5384422110552763,0.4417417417417418,0.0018345636965409,LH2_rq03
0.542964824120603,0.4415415415415415,0.0018198838035684,LH2_rq03
0.5474874371859296,0.4411411411411411,0.0018054460870031,LH2_rq03
0.5520100502512563,0.440940940940941,0.0017912445957891,LH2_rq03
0.5565326633165829,0.4407407407407408,0.0017772735762038,LH2_rq03
0.5610552763819094,0.4405405405405406,0.001763527454955,LH2_rq03
0.5655778894472361,0.4403403403403403,0.0017500008370199,LH2_rq03
0.5701005025125627,0.4401401401401402,0.0017366884985696,LH2_rq03
