Time (s),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066
1200.0,88.05394995211066,88.05973181768013,88.06551340584976,88.07129461931892,88.07707527105772,88.08285501849183,88.0886332610988,88.09440898837317,88.10018056452236,88.10594543826157,88.1116997712683,88.1174379891869,88.12315227225383,88.12883202273474,88.13446336104404,88.14002872820818,88.1455066664031,88.15087187960995,88.15609560768495,88.1611464143355,88.16599128301169,88.17059714172208,88.17493243489665,88.17896904809021,88.18268372170425,88.18605985383229,88.18908794719025,88.19176694902016,88.19410304922549,88.19611074988336,88.19780962002726,88.19922593817775,88.20038719969855,88.20132564935926,88.20207026877702,88.20265364218186,88.20310088562147,88.20344107560376,88.20369235043825,88.20387868471789,88.20401043248056,88.20410665288877,88.20417077165007,88.20421801939807,88.20424658053152,88.20426905669879,88.20428024664429,88.20429098830597,88.2042943370459,88.20429979344728,88.20429994497108,88.20430305137216,88.20430211846649,88.20430411099073,88.20430298582437,88.20430435910558,88.20430337723155,88.20430433767261,88.20430359154,88.20430424730203,88.20430372865523,88.2043041571105,88.20430382152563,88.20430408698304,88.20430388346702,88.20430403881994,88.20430392280817,88.2043040085471,88.20430394631018,88.20430399090579,88.20430395946629,88.20430398132129,88.2043039663626,88.20430397645345,88.20430396974889,88.20430397413813,88.20430397130771,88.20430397310606,88.20430397198035,88.20430397267462,88.20430397225279,88.20430397250523,88.20430397235648,88.20430397244279,88.20430397239357,88.2043039724211,88.20430397240582,88.20430397241427,88.20430397240975,88.20430397241208,88.20430397241087,88.20430397241151,88.20430397241121,88.20430397241141,88.2043039724113,88.20430397241125,88.20430397241135,88.20430397241135,88.20430397241124,88.2043039724112
2400.0,88.05394995211066,88.05973252491208,88.06551491263373,88.07129711485284,88.07707913113627,88.08286096102935,88.08864260403779,88.09442405959294,88.10020532699203,88.10598640529341,88.11176729314211,88.1175479884761,88.12332848805515,88.12910878669969,88.1348888761107,88.140668743047,88.14644836658263,88.15222771404714,88.15800673512861,88.16378535346938,88.1695634549105,88.17534087136157,88.1811173590939,88.18689257009441,88.19266601503308,88.19843701635432,88.20420465015619,88.20996767575696,88.21572445239703,88.22147284316554,88.22721010733568,88.232932783305,88.23863656600703,88.24431618373713,88.24996528146723,88.2555763180767,88.2611404874781,88.26664767180134,88.27208643827329,88.27744408512318,88.2827067482484,88.28785956574997,88.29288691194004,88.29777268260281,88.302500646785,88.3070548222266,88.3114199048908,88.31558167112172,88.31952742189499,88.3232463252861,88.32672980770948,88.3299717444388,88.33296874995743,88.33572013609279,88.33822809714032,88.34049737729273,88.34253540578315,88.34435163464667,88.34595774365724,88.34736661211176,88.34859277287521,88.3496509581088,88.35055703106927,88.35132599345114,88.35197366302046,88.35251395559528,88.35296160989192,88.35332847233295,88.35362760115521,88.35386820227693,88.35406147249985,88.35421377450872,88.3543345982219,88.35442753538416,88.35450073841886,88.35455526957229,88.35459840573627,88.3546289994952,88.35465390590902,88.35467010444034,88.3546844046305,88.3546922347547,88.35470062057132,88.35470373857213,88.35470896705174,88.35470951276181,88.35471312545921,88.35471231549202,88.35471512555218,88.35471363966678,88.35471604385138,88.35471426182833,88.35471643087489,88.35471456969596,88.3547165584409,88.35471475211618,88.3547165404003,88.35471496785999,88.35471612767464,88.35471651427954
3600.0,88.05394995211066,88.05973290264268,88.06551567890814,88.0712982805056,88.07708070703187,88.08286295808202,88.0886450332503,88.09442693213003,88.10020865431325,88.1059901993917,88.11177156695624,88.11755275659749,88.12333376790488,88.12911460046718,88.13489525387284,88.140675727707,88.14645602155446,88.15223613499346,88.1580160675969,88.16379581892568,88.16957538852199,88.17535477589975,88.18113398052176,88.18691300178193,88.19269183894905,88.19847049112181,88.20424895710951,88.21002723531969,88.2158053235168,88.22158321856168,88.22736091593713,88.23313840918861,88.23891568902054,88.24469274217113,88.25046954974383,88.25624608508213,88.26202231079273,88.26779817495017,88.27357360599916,88.27934850631881,88.28512274387656,88.29089614186081,88.29666846565196,88.30243940697027,88.30820856454041,88.31397542112828,88.31973931636179,88.32549941532508,88.33125467254501,88.33700379165381,88.34274518073398,88.3484769040876,88.35419663100916,88.35990158292,88.36558848010594,88.3712534901496,88.37689217987685,88.38249947367606,88.38806962021023,88.39359617115082,88.39907197333963,88.40448917890281,88.4098392726789,88.41511312300636,88.42030105080941,88.42539292639577,88.43037828050309,88.43524644673609,88.43998670657344,88.44458847094451,88.44904144159469,88.45333582082769,88.45746246171768,88.46141309481975,88.46518042999442,88.4687583957623,88.47214214524651,88.4753283207585,88.47831490293628,88.4811015432565,88.48368917378502,88.4860804974804,88.48827923823296,88.49029094852958,88.49212171485411,88.49377954268438,88.49527222709915,88.4966097181313,88.49780070382818,88.4988565611234,88.49978595911288,88.5006012822196,88.50131022369561,88.50192594366844,88.50245416090868,88.50290864657153,88.50329145619685,88.50361296149795,88.50385400406307,88.50393435158495
4800.0,88.05394995211066,88.05973302473615,88.06551593111136,88.0712986710619,88.07708124440087,88.08286365092957,88.08864589043644,88.09442796269649,88.10020986747556,88.10599160452259,88.11177317358037,88.11755457437485,88.12333580662498,88.12911687003658,88.13489776430684,88.14067848912137,88.14645904415924,88.1522394290881,88.15801964356922,88.16379968725622,88.16957955979441,88.17535926082567,88.18113878998076,88.18691814689271,88.19269733117955,88.19847634246756,88.20425518036276,88.21003384448926,88.21581233443706,88.2215906498367,88.22736879025341,88.23314675533526,88.23892454461006,88.24470215775362,88.25047959424236,88.25625685378033,88.26203393578379,88.2678108399618,88.27358756566717,88.27936411255129,88.28514047989931,88.29091666718051,88.296692673583,88.30246849816908,88.30824413993174,88.3140195971333,88.31979486831098,88.32556995026202,88.3313448404802,88.33711953316907,88.34289402359546,88.34866830146564,88.35444235760153,88.36021617405108,88.36598973324863,88.3717630044411,88.37753595499538,88.38330853317608,88.38908068046219,88.39485231144779,88.4006233249178,88.40639358267477,88.41216291576099,88.41793110525863,88.42369787863578,88.42946289683437,88.43522573457345,88.44098587907148,88.44674268762606,88.45249540386513,88.45824308635098,88.46398464813045,88.46971875171272,88.47544387674503,88.4811581796281,88.48685959221208,88.49254564870596,88.49821361493521,88.50386029154186,88.50948216752744,88.51507521822994,88.5206350663927,88.5261568087226,88.5316351483162,88.53706431007129,88.54243807230826,88.54774987873574,88.5529926310856,88.55815919102184,88.56324167612081,88.56823269651188,88.57312367642842,88.57790739773064,88.5825743397547,88.58711685310058,88.59151917450603,88.59575293719664,88.59971156387017,88.60300860251476,88.60410761539617
6000.0,88.05394995211066,88.05973303621272,88.06551595565163,88.0712987104219,88.07708130051483,88.08286372592053,88.08864598662544,88.09442808261561,88.10021001387041,88.10599178037072,88.11177338208788,88.11755481899503,88.12333609105524,88.12911719823143,88.13489814047666,88.14067891774259,88.14645952997016,88.1522399770968,88.15802025905163,88.1638003757546,88.16958032712057,88.17536011305265,88.18113973344687,88.18691918819022,88.19269847715584,88.19847760021746,88.20425655721688,88.21003534802354,88.2158139724346,88.22159243032878,88.22737072143981,88.23314884567966,88.2389268026854,88.24470459244691,88.25048221444493,88.25625966882585,88.26203695481462,88.26781407284126,88.27359102171668,88.27936780235441,88.28514441290746,88.29092085507315,88.2966971259867,88.30247322856134,88.30824915840981,88.31402492025082,88.31980050749958,88.32557592745115,88.33135117045848,88.33712624735347,88.34290114437826,88.34867587702657,88.35445042624065,88.36022481339351,88.36599901290053,88.37177305317309,88.37754690103054,88.3833205927587,88.38909408698741,88.39486742797902,88.40064056652555,88.40641355365358,88.4121863342247,88.41795896277635,88.42373138239982,88.42950364505927,88.43527569909875,88.44104758437969,88.44681926455117,88.45259075439209,88.45836204507106,88.46413311113889,88.46990398288592,88.47567458088254,88.48144497965013,88.48721504053432,88.49298487044811,88.49875428694595,88.50452338390023,88.51029198996919,88.51606008256968,88.52182762261593,88.52759427634247,88.53336036001679,88.53912489996495,88.54488893740272,88.55065034470496,88.55641145610107,88.56216823250898,88.56792512197104,88.5736751040804,88.57942583333427,88.5851657322791,88.59090652330028,88.59662791100641,88.60233826368572,88.60797183370713,88.61340001926024,88.61800237712589,88.61953649641441
7200.0,88.05394995211066,88.05973303648072,88.06551595624364,88.07129871140337,88.07708130196485,88.08286372793208,88.08864598931017,88.09442808610245,88.10021001831446,88.10599178594863,88.11177338901062,88.11755482750324,88.1233361014307,88.12911721079647,88.13489815560371,88.14067893585495,88.1464595515542,88.1522400027015,88.15802028930136,88.16380041135186,88.16958036885717,88.17536016181268,88.18113979022277,88.18691925407884,88.19269855338649,88.1984776881293,88.2042566583176,88.210035463923,88.21581410496236,88.22159258139165,88.2273708932379,88.23314904043417,88.23892702302422,88.24470484090817,88.25048249415543,88.25625998262093,88.26203730641107,88.2678144653195,88.27359145950403,88.27936828867982,88.28514495307084,88.29092145229424,88.29669778665877,88.30247395566056,88.30824995971355,88.3140257981679,88.31980147156914,88.32557697908548,88.33135232143692,88.3371274975474,88.3429025083983,88.34867735254049,88.3544520313999,88.36022654288992,88.36600088925208,88.37177506724318,88.37754908063688,88.3833229240509,88.38909660412037,88.39487011154462,88.40064345817694,88.40641662770513,88.41218964122712,88.41796247022097,88.42373515169055,88.4295076364322,88.43527998805524,88.4410521232559,88.44682414896512,88.45259592709014,88.45836763331826,88.46413904369453,88.46991044036298,88.47568146805273,88.48145256976328,88.48722319421681,88.4929940215917,88.4987642151414,88.50453479616695,88.51030452250633,88.51607489363042,88.52184410651158,88.52761431308414,88.53338295558613,88.53915305105336,88.54492105584991,88.55069109885198,88.55645838968431,88.56222843703253,88.56799492755044,88.57376500599734,88.57953053449737,88.58530035560813,88.59106366118928,88.5968286634441,88.602572413823,88.60826649532622,88.61373962406788,88.61840333811739,88.6199579094672
8400.0,88.05394995211066,88.05973303649017,88.06551595626324,88.07129871143445,88.07708130200862,88.08286372799037,88.08864598938437,88.09442808619511,88.10021001842773,88.10599178608622,88.11177338917595,88.11755482770083,88.12333610166667,88.1291172110763,88.13489815593678,88.14067893625,88.14645955202357,88.15224000325911,88.15802028996445,88.16380041214036,88.16958036979642,88.17536016293099,88.18113979155603,88.18691925566728,88.1926985552802,88.19847769038603,88.2042566610055,88.21003546712244,88.215814108767,88.22159258591236,88.22737089859936,88.23314904679007,88.23892703053643,88.24470484978781,88.25048250460961,88.2562599949367,88.2620373208484,88.26781448226461,88.27359147927886,88.279368311795,88.2851449799219,88.29092148354692,88.29669782279295,88.30247399753058,88.30825000789928,88.31402585374728,88.31980153523732,88.32557705218537,88.3313524047902,88.33712759281558,88.34290261652366,88.34867747558766,88.3544521703818,88.36022670042532,88.36600106628093,88.37177526721808,88.3775493041052,88.38332317581529,88.389096883698,88.39487042601851,88.40064380485528,88.40641701756981,88.41219006731716,88.4179629501446,88.42373567075889,88.4295082233383,88.4352806147832,88.44105283665492,88.44682489891228,88.45259678949131,88.45836852258522,88.4641400811167,88.4699114851611,88.47568271064466,88.48145378593539,88.4872246769874,88.49299542417914,88.49876597878364,88.50453639921655,88.5103066142805,88.51607671056097,88.52184658114246,88.52761635814278,88.53338587615087,88.53915534266503,88.54492449471125,88.55069366604891,88.5564624297355,88.56223133063905,88.56799966446344,88.57376831681282,88.57953608143964,88.58530424219273,88.5910701583704,88.59683339049371,88.60258003889469,88.60827247624586,88.61374846546856,88.61841128739104,88.61996556136508
9600.0,88.05394995211066,88.0597330364914,88.06551595626577,88.07129871143852,88.07708130201411,88.08286372799783,88.0886459893932,88.09442808620649,88.10021001844078,88.10599178610227,88.11177338919389,88.11755482772251,88.1233361016902,88.1291172111047,88.13489815596715,88.14067893628625,88.14645955206194,88.15224000330488,88.15802029001219,88.16380041219774,88.16958036985504,88.17536016300257,88.18113979162783,88.1869192557569,88.19269855536785,88.19847769049812,88.20425666111242,88.21003546726412,88.21581410889813,88.22159258609287,88.22737089876216,88.23314904702202,88.23892703074071,88.24470485009012,88.25048250487009,88.25625999533578,88.26203732118576,88.26781448279856,88.27359147972201,88.27936831251937,88.28514498051092,88.29092148454176,88.29669782358093,88.30247399891297,88.30825000895676,88.31402585568513,88.31980153665589,88.32557705491654,88.33135240668884,88.33712759667335,88.34290261905566,88.34867748103267,88.3544521737424,88.36022670808538,88.36600107071745,88.37177527793986,88.37754930992587,88.38332319072833,88.38909689128195,88.3948704466111,88.40064381466388,88.40641704578269,88.41219007990533,88.41796298847476,88.42373568679287,88.42950827495665,88.43528063506055,88.44105290553607,88.44682492438862,88.45259688055702,88.45836855439718,88.46414020040515,88.46991152462807,88.47568286552804,88.48145383450674,88.48722487648304,88.4929954832639,88.4987662340333,88.50453646979715,88.51030693931652,88.51607679244245,88.52184699411939,88.527616448617,88.53338640130039,88.5391554342809,88.54492516538281,88.5506937430646,88.55646329301872,88.56223136358007,88.56800078804196,88.57376825446443,88.57953756324972,88.58530400105403,88.59107213686765,88.59683285085553,88.60258267174466,88.6082715862088,88.61375154659184,88.61841127600422,88.61996451914162
10800.0,88.05394995211066,88.05973303649151,88.06551595626593,88.07129871143871,88.07708130201456,88.08286372799819,88.0886459893941,88.09442808620727,88.100210018442,88.10599178610343,88.1117733891957,88.11755482772409,88.1233361016927,88.12911721110689,88.13489815597052,88.14067893628912,88.14645955206652,88.15224000330828,88.15802029001824,88.16380041220202,88.16958036986324,88.17536016300748,88.18113979163869,88.1869192557625,88.1926985553822,88.19847769050428,88.2042566611311,88.21003546727049,88.21581410892293,88.22159258609841,88.22737089879506,88.23314904702573,88.23892703078484,88.2447048500897,88.25048250492955,88.25625999532811,88.26203732126669,88.2678144827782,88.27359147983343,88.27936831247787,88.28514498066693,88.29092148446476,88.29669782380418,88.30247399877673,88.30825000928199,88.31402585545177,88.31980153713691,88.32557705452872,88.33135240740481,88.3371275960464,88.34290262012111,88.34867748004449,88.35445217532055,88.36022670656381,88.36600107303566,88.3717752756472,88.37754931329714,88.38332318734042,88.38909689613197,88.39487044169313,88.40064382156156,88.40641703876189,88.41219008959948,88.41796297861278,88.4237357002467,88.42950826132702,88.43528065348546,88.4410528870085,88.44682494926934,88.45259685579563,88.45836858750911,88.46414016787888,88.46991156805088,88.47568282352579,88.48145389064581,88.48722482311653,88.49299555490808,88.49876616719331,88.50453656025644,88.51030685652675,88.51607690583639,88.52184689220373,88.52761659041819,88.5333862757395,88.53915561225882,88.54492500919368,88.5506939688256,88.55646309492639,88.56223165497336,88.56800052964063,88.5737686391756,88.57953721486707,88.5853045214326,88.59107165298207,88.59683356609104,88.60258199941228,88.6082725276348,88.61375078599912,88.61841191146453,88.61996561995295
