Geometric_AR,BOR_LF_0.50,BOR_LF_0.55,BOR_LF_0.60,BOR_LF_0.65,BOR_LF_0.70,BOR_LF_0.75,BOR_LF_0.80,BOR_LF_0.85,BOR_LF_0.90,BOR_LF_0.95,Thermal_AR_LF_0.50,Thermal_AR_LF_0.55,Thermal_AR_LF_0.60,Thermal_AR_LF_0.65,Thermal_AR_LF_0.70,Thermal_AR_LF_0.75,Thermal_AR_LF_0.80,Thermal_AR_LF_0.85,Thermal_AR_LF_0.90,Thermal_AR_LF_0.95
0.2,0.01879083720887129,0.01709607438299464,0.01568370594518433,0.014488564070534948,0.013464100311084956,0.012576179136848106,0.011799198898958366,0.01111358186465756,0.010504100907440595,0.00995873461217536,0.14252908995352842,0.14317184225652702,0.14381363167886974,0.1444544603826147,0.14509433052335197,0.14573324425022754,0.1463712037059678,0.147008211026903,0.14764426834299146,0.1482793777778431
0.23838383838383842,0.017171433943993054,0.015624819099315327,0.014335891978485501,0.013245186345249503,0.012310226313897906,0.011499862899108485,0.010790734359597211,0.010164975832249231,0.009608692421607869,0.009110914473184522,0.16536519834467964,0.16609098534262823,0.16681551116839907,0.16753877910637432,0.16826079242954142,0.16898155439954293,0.16970106826672537,0.170419337270188,0.1711363646378315,0.17185215358640663
0.2767676767676768,0.01595739981185513,0.014522003545808833,0.013325743069114684,0.012313433421086631,0.011445656768572302,0.010693506696816794,0.010035303391252243,0.009454468166891047,0.008938106487952287,0.008476038456081976,0.18701754349771338,0.1878169775699524,0.18861484096374978,0.18941113830351994,0.19020587419554133,0.19099905322804533,0.19179067997130464,0.19258075897772084,0.1933692947819119,0.19415629190079864
0.3151515151515152,0.015012277481035056,0.013663592195641377,0.012539575290095391,0.011588380505314126,0.010772974793211093,0.010066200579766158,0.009447689679441524,0.008901866416273427,0.008416616371279387,0.00798237552613127,0.20757575201755515,0.20844053386728734,0.2093034302815237,0.21016444741961424,0.2110235914141094,0.21188086837090597,0.2127362843693917,0.2135898454625889,0.21444155767729725,0.2152914270142356
0.3535353535353536,0.014255385270822884,0.012976249412510485,0.011910174778593087,0.01100799376121168,0.01023458663240234,0.009564198917568559,0.008977514753897263,0.008459763181096414,0.0079994556685573,0.007587522318589282,0.22712064378930683,0.22804341892441882,0.22896399320244995,0.22988237448772533,0.23079857060714598,0.23171258935041086,0.232624438470238,0.23353412568258333,0.23444165866685868,0.23534704506614762
0.39191919191919194,0.013635756643382214,0.012413650131407328,0.01139508441524494,0.010533088993658471,0.009794113497981089,0.009153554314742324,0.008592958724803264,0.008098215816911586,0.00765835043006955,0.007264697956476218,0.24572528248644612,0.24669951918878566,0.2476712424493074,0.24864046198215645,0.2496071874514837,0.2505714284717669,0.2515331946081297,0.2524924953766576,0.2534493402447119,0.2544037386312413
0.43030303030303035,0.013119510593451567,0.011944999524212954,0.010966081224817043,0.01013761944576264,0.009427373995218653,0.008811702053340817,0.008272871493711895,0.007797322444267675,0.007374508327909229,0.006996102890452719,0.2634558810631166,0.26447576624757196,0.2654928308882273,0.2665070866694595,0.2675185452111961,0.26852721806935936,0.269533116736306,0.2705362526412639,0.27153663715076487,0.27253428156907394
0.4686868686868687,0.012683190595893915,0.011548978163486117,0.010603626723638257,0.009803553612570971,0.009117628339167376,0.008523021861028095,0.008002612381996073,0.007543306750546208,0.007134921392037059,0.006769416630873467,0.2803725842985043,0.2814329343258457,0.28249016416096523,0.2835442875558736,0.28459531818188527,0.2856432696302098,0.28668815541253756,0.28772998896162055,0.2887687836318478,0.28980455269981625
0.5070707070707071,0.012310010465022772,0.011210329581865195,0.01029373923145467,0.009517988499521755,0.008852898140832245,0.008276336689868529,0.007771705529991444,0.007326311585239304,0.0069302824481825955,0.006575824099035765,0.296530147058497,0.2976263310970749,0.29871910418654835,0.2998084822227434,0.3008944810028681,0.30197711622627643,0.30305640349522456,0.3041323583156203,0.30520499609776597,0.3062743321570939
0.5454545454545455,0.011987622167851571,0.010917831281009215,0.010026134211826045,0.009271433244885092,0.008624372844264731,0.008063425594164486,0.007572445911777569,0.007139087155604762,0.006753746364315154,0.006408842235992401,0.31197852393173137,0.31310639789007033,0.3142305800516577,0.315351088513055,0.3164679412527416,0.31758115613207644,0.31869075089625,0.3197967431752273,0.3208991504846818,0.32199799022691966
