Geometric_AR,BOR_LF_0.05,BOR_LF_0.20,BOR_LF_0.35,BOR_LF_0.50,BOR_LF_0.65,BOR_LF_0.80,BOR_LF_0.95,Thermal_AR_LF_0.05,Thermal_AR_LF_0.20,Thermal_AR_LF_0.35,Thermal_AR_LF_0.50,Thermal_AR_LF_0.65,Thermal_AR_LF_0.80,Thermal_AR_LF_0.95
0.2,0.0605687019809561,0.015257722073617308,0.008784652770252088,0.006195294924081884,0.00480077907167531,0.003928770171159224,0.003331467649753006,0.42010905148399447,0.42411898782310953,0.42807384772764195,0.4319747581695157,0.4358228155822047,0.4396190868881776,0.44336461048513937
0.20180180180180182,0.0604337757126695,0.015224366377548426,0.00876580739038435,0.006182253755073641,0.004790862727178324,0.0039208047344434505,0.0033248328443570285,0.422295993831359,0.42631145857309716,0.43027148780717756,0.43417722163629646,0.4380297691124396,0.44183020928681743,0.44557959221748217
0.2036036036036036,0.06030150362051101,0.015191672163483716,0.008747338815618844,0.006169475515173328,0.004781147993453416,0.003913002593139314,0.0033183351223100566,0.4244665084142907,0.4284873039711602,0.4324523090791666,0.43636267691634406,0.44021952909690354,0.44402395674381645,0.44777702151795606
0.20540540540540542,0.060171819628993095,0.01515962294264872,0.008729237641123877,0.006156953633176254,0.004771629824990353,0.003905359655057894,0.003311971044167805,0.4266207796098513,0.430646712374057,0.4346165038498334,0.43853132023412794,0.4423922956461754,0.44620053322288755,0.4499571061696614
0.2072072072072072,0.06004465982909746,0.015128202767183074,0.008711494770755723,0.006144681753678105,0.004762303342068952,0.0038978719625463176,0.0033057372835233467,0.4287589890467127,0.43278986930440505,0.4367642615052319,0.44068334480768084,0.4445482657779367,0.448360139508231,0.45212005068945504
0.209009009009009,0.05991996238968966,0.015097396208016867,0.008694101404431165,0.006132653728240789,0.004753163823967177,0.0038905356869795016,0.0032996306224822858,0.4308813156561668,0.43491695750377607,0.4388957685664538,0.44281894090594726,0.4466876334764858,0.4505029732662382,0.45426605639186735
0.21081081081081082,0.059797667473267646,0.015067188333828918,0.008677049026115546,0.0061208636069940425,0.004744206702509746,0.0038833471235183437,0.003293647947250733,0.4329879357220031,0.4370281569846028,0.4410112087435893,0.4449382959048239,0.4488105897508822,0.4526292291057647,0.45639532145152517
0.21261261261261263,0.05967771715580383,0.01503756469102846,0.008660329392392585,0.006109305630647821,0.004735427555923488,0.0038763026861279304,0.003287786243854729,0.43507902292928535,0.4391236450809262,0.4431107629884725,0.44704159434192764,0.45091732269176044,0.4547390986370105,0.4585080409641203
0.21441441441441442,0.05956005535044462,0.015008511284698267,0.008643934521591956,0.006097974222878055,0.004726822102997019,0.0038693989028301123,0.003282042594343171,0.4371547484120523,0.441203596498016,0.44519460954624446,0.44912901797012383,0.45300801752684544,0.4568327705290452,0.4606044070059629
0.21621621621621623,0.05944462773485648,0.01498001456045328,0.008627856683428914,0.006086863983092772,0.004718386197511304,0.0038626324111894483,0.00327641417279001,0.43921528079997346,0.44326818336089213,0.44726292400576456,0.45120074580984904,0.4550828566752078,0.45891043056601366,0.462684608692159
0.218018018018018,0.0593313816820088,0.01495206138715166,0.008612088389136408,0.006075969679527726,0.004710115822940453,0.0038559999540069834,0.0032708982418298005,0.4412607862639838,0.4453175752617761,0.4493158793488986,0.453256954200258,0.45714201980028896,0.46097226170205946,0.4647488322334475
0.21981981981981985,0.05922026619421117,0.01492463904042396,0.008596622382066599,0.006065286242673773,0.004702007087395987,0.0038494983752190848,0.0032654921489920774,0.4432914285609258,0.4473519393064989,0.45135364599871497,0.45529781684922666,0.45918568386173025,0.46301844411499743,0.4667972609917341
0.22162162162162163,0.05911123184022493,0.014897735186965244,0.008581451628718928,0.0060548087590046595,0.004694056218814691,0.0038431246159897903,0.003260193323725291,0.44530736907722035,0.4493714401598918,0.45337639186661405,0.45732350488223933,0.46121402316603577,0.465049155258769,0.46883007553435496
0.22342342342342342,0.059004230695277826,0.014871337869559409,0.008566569310197503,0.0060445324650031385,0.004686259560358841,0.0038368757109791263,0.003254999274010517,0.44730876687159626,0.4513762400901883,0.4553842823984224,0.4593341868901929,0.46322720941610296,0.467064569914715,0.4708474536871064
0.22522522522522523,0.0588992162838371,0.014845435492782388,0.008551968814047517,0.006034452741451979,0.004678613566039824,0.0038307487847877297,0.0032499075834226954,0.44929577871689663,0.4533664990124592,0.4573774806194733,0.46133002897614056,0.4652254117596452,0.46906486024169275,0.4728495705860712
