Aspect Ratio,Thermal Aspect Ratio,Boil-Off Rate (BOR)
0.02,0.07375124643426004,0.009292206038702178
0.021981981981981983,0.080472487156531,0.008788800524221374
0.023963963963963966,0.08709696705765234,0.008357578341276373
0.025945945945945945,0.09362675624282163,0.007983543289186379
0.027927927927927927,0.10006386675333544,0.0076556623040979765
0.02990990990990991,0.10641025448016837,0.0073656231758223445
0.03189189189189189,0.11266782102894567,0.007107035193164135
0.033873873873873875,0.11883841552952258,0.006874897951192338
0.03585585585585585,0.12492383638679207,0.006665238421733166
0.03783783783783784,0.13092583297141497,0.0064748569071275686
0.039819819819819816,0.13684610725046067,0.00630114539778881
0.041801801801801805,0.1426863153587481,0.006141955217393358
0.04378378378378378,0.1484480691121841,0.0059954989518513635
0.04576576576576577,0.15413293746470696,0.005860276672003284
0.047747747747747746,0.15974244791061873,0.005735019670295216
0.04972972972972973,0.1652780878341979,0.005618647017145095
0.05171171171171171,0.17074130580851685,0.005510231639018759
0.05369369369369369,0.1761335128453956,0.00540897354981329
0.055675675675675676,0.1814560835984049,0.005314178530395841
0.05765765765765766,0.18671035752078524,0.005225240995805569
0.05963963963963964,0.19189763998010484,0.0051416301145066345
0.061621621621621624,0.197019203331421,0.005062878479569433
0.0636036036036036,0.20207628795064514,0.004988572795619595
0.06558558558558558,0.2070701032297522,0.004918346173772736
0.06756756756756757,0.21200182853540883,0.0048518717178238635
0.06954954954954955,0.21687261413252984,0.0047888571535812385
0.07153153153153154,0.22168358207421363,0.004729040308851129
0.07351351351351351,0.22643582705943877,0.0046721852891939974
0.0754954954954955,0.23113041725985198,0.004618079227090677
0.07747747747747748,0.2357683951169132,0.004566529505479089
0.07945945945945945,0.24035077811061173,0.004517361378116869
0.08144144144144144,0.24487855950091353,0.004470415919055615
0.08342342342342343,0.2493527090430439,0.004425548251575373
0.08540540540540541,0.25377417367766947,0.004382626011109059
0.08738738738738738,0.2581438781969859,0.004341528007842266
0.08936936936936937,0.2624627258876809,0.004302143058006136
0.09135135135135135,0.2667315991516948,0.004264368960680276
0.09333333333333332,0.270951360105662,0.0042281115983773265
0.09531531531531531,0.27512285115987606,0.004193284143757747
0.0972972972972973,0.27924689557758586,0.004159806360837015
0.09927927927927928,0.2833242980153918,0.004127603982781558
0.10126126126126125,0.28735584504548145,0.0040966081618252215
0.10324324324324324,0.291342305660407,0.00406675497781106
0.10522522522522523,0.2952844317610797,0.004037985001342115
0.10720720720720721,0.2991829586286272,0.004010242901125061
0.10918918918918918,0.303038605380728,0.003983477093397303
0.11117117117117117,0.30685207541301474,0.00395763942659455
0.11315315315315315,0.31062405682611266,0.003932684897606897
0.11513513513513514,0.3143552228388522,0.003908571395829119
0.11711711711711711,0.3180462321881735,0.0038852594723832734
