Time (s),0,1,2,3,4,5,6,7,8,9
0.0,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066,88.05394995211066
1200.0,88.05394995211066,88.09500431948283,88.119758545989,88.132057042708,88.13717156444258,88.13898432149506,88.13954118884372,88.13969170195776,88.13972832192911,88.13974052858619
2400.0,88.05394995211066,88.10693860605208,88.14977357368657,88.18108176971147,88.20164716717768,88.2137824713109,88.22023416900203,88.22333882695226,88.2246919704641,88.22514301830135
3600.0,88.05394995211066,88.11203742192852,88.16413274377575,88.20823752330743,88.24317871897672,88.26893927758695,88.28656252857378,88.29771765712772,88.30407645115659,88.30619604916618
4800.0,88.05394995211066,88.11456361734953,88.17160130614282,88.22343554220325,88.26857654696593,88.3060108847316,88.33541352295603,88.35708689270662,88.37133901187427,88.37608971826349
6000.0,88.05394995211066,88.11591601262923,88.17571058176927,88.23216759217087,88.28400585859245,88.33001822901353,88.3692394242257,88.40088220797833,88.42345542346654,88.4309798286293
7200.0,88.05394995211066,88.11667599141823,88.17806079761885,88.23730499896395,88.29343138815085,88.34534673791526,88.39189068977589,88.43157795000668,88.4612968234836,88.47120311464258
8400.0,88.05394995211066,88.11711753450076,88.1794422392381,88.24038660777765,88.2992334668499,88.35508639655771,88.40676857779798,88.45240033251804,88.48759066977405,88.49932078219271
9600.0,88.05394995211066,88.11737999450803,88.1802714279185,88.24226107823297,88.30283359592994,88.36126063949817,88.41643342745104,88.46622022665777,88.5053382369838,88.51837757375915
10800.0,88.05394995211066,88.11753892352857,88.1807761601187,88.24341531750711,88.30507848696966,88.36517661362669,88.42266033566881,88.47526846390589,88.51708290547306,88.53102105266218
12000.0,88.05394995211066,88.11763630089244,88.18108715173952,88.24413127392567,88.30648602925002,88.36765804508283,88.42665564689072,88.48113247133209,88.52475565190097,88.53929671209069
13200.0,88.05394995211066,88.11769650641149,88.18128043158673,88.2445779242437,88.30737188821936,88.36923009683801,88.42921132639208,88.48490714953893,88.52972405894306,88.54466302874452
14400.0,88.05394995211066,88.11773411924813,88.18140086542883,88.24485874628681,88.30792905272563,88.3702290210934,88.4308383605354,88.48733037347927,88.53291908498797,88.54811532215759
15600.0,88.05394995211066,88.11775762432235,88.18147658811377,88.24503508247132,88.30828160795596,88.37086137287663,88.43187597758963,88.48887728037452,88.53496715616951,88.55033044810125
