AR,Q_L,Q_b,Q_VL,Q_Vw,Q_tot,BOR
0.05,1652.3678692983174,62955.52744989408,3.3475129254948417,268.2919258238039,64879.53475794169,0.39138582946253087
0.0736842105263158,1905.8036617688342,48614.32349567771,2.911759351996787,282.41133946895707,50805.4502562675,0.3064838226752757
0.09736842105263158,2107.2737850067633,40370.90186672997,2.621411419283414,295.5692961162397,42776.36635927226,0.258048348463004
0.12105263157894737,2277.140754656467,34916.52753360483,2.408173647110721,307.69339031113714,37503.76985221954,0.22624140129011738
0.14473684210526316,2425.413879263229,30995.202245895784,2.240350892658998,318.91002945219947,33741.76650550387,0.2035471154132932
0.16842105263157897,2557.837775414607,28016.655169792768,2.10330791931546,329.35421426763264,30905.950467394323,0.18644005824376642
0.19210526315789472,2678.0485713091166,25663.80385810669,1.9880524172534049,339.14058446598204,28682.981066299042,0.17302999948743994
0.21578947368421053,2788.5096985207506,23749.82237625915,1.8889731581553801,348.3620670101713,26888.583114948226,0.16220529756313717
0.23947368421052634,2890.9758984956543,22156.883419112193,1.8023332948647737,357.0936592679257,25406.755310170636,0.15326617502859796
0.2631578947368421,2986.746250063803,20806.687006606375,1.7255419458587604,365.3962125378569,24160.555011153894,0.14574847579496342
0.2868421052631579,3076.8124033102595,19644.99558455064,1.656728895230385,373.3196690243611,23096.78438578049,0.13933128259229285
0.3105263157894737,3161.950432966794,18632.94902972395,1.594505079040884,380.9054031058635,22177.399370875646,0.13378509521000984
0.33421052631578946,3242.780399169141,17741.91333640322,1.5378054765069755,388.1881200913963,21374.419661140262,0.12894112261185273
0.35789473684210527,3319.806432470779,16950.284628213652,1.4858070908871077,395.19715903422764,20666.774026809548,0.12467225250504108
0.3815789473684211,3393.4445708441663,16241.430049968421,1.437850234417583,401.9576118673458,20038.270082914354,0.12088080448221811
0.4052631578947368,3464.0426144047115,15602.317820542594,1.393407590822346,408.49105864893596,19476.244901187063,0.11749038933278093
0.42894736842105263,3531.8946151843325,15022.580199894112,1.3520441693154828,414.8162591380075,18970.643118385764,0.11444034822484574
0.45263157894736844,3597.2516668411126,14493.856913596663,1.3134033251529234,420.94957891224846,18513.371562675176,0.11168185900313025
0.4763157894736842,3660.3300816374895,14009.325227519497,1.2770939040364433,426.90545240586044,18097.83785546688,0.1091751529523414
0.5,3721.3176817754165,13563.357226730632,1.2430499672367996,432.69659370003785,17718.614552173323,0.10688748964315155
0.55,3843.9177842774807,12728.349058168584,1.1773542062697824,444.43091134402425,17017.87510799636,0.10266028120124188
0.6000000000000001,3959.1877437692947,12011.014819891832,1.1187013277117508,455.5704495424378,16426.891714531277,0.09909517553990646
