a,tau_rq_03_LF95,tau_rq_08_LF95,tau_rq_03_LF05,tau_rq_08_LF05
0.1,91484.12149940355,26595.113091985873,1856988.1529079382,514882.04433340667
0.10480961923847695,90062.77845860319,26181.918121175124,1828137.05673163,506882.5795240832
0.10961923847695391,88725.84179196152,25793.260709775168,1800999.281230796,499358.1624691603
0.11442885771543086,87464.9128603905,25426.6993110705,1775404.346839897,492261.5247641062
0.11923847695390782,86272.73813911201,25080.12527157432,1751205.0180675825,485551.84282549255
0.12404809619238477,85143.01420680291,24751.70613992557,1728273.3450737253,479193.64034984796
0.12885771543086172,84070.23206610253,24439.84040970509,1706497.5036131416,473155.91213346244
0.13366733466933867,83049.55171802761,24143.121057287226,1685779.2490874808,467411.41816429666
0.13847695390781564,82076.70025352528,23860.305916297857,1666031.847959169,461936.1100707608
0.1432865731462926,81147.88840347157,23590.29341807962,1647178.383843634,456708.66145652387
0.14809619238476954,80259.7417070791,23332.10258183722,1629150.360332954,451710.08050923335
0.1529058116232465,79409.24335431642,23084.85639850454,1611886.5407841345,446923.38831177383
0.15771543086172346,78593.6864235025,22847.76794585879,1595331.9788151123,442333.35003053525
0.1625250501002004,77810.63373494393,22620.12871767496,1579437.2033948177,437926.2489675552
0.16733466933867736,77057.88392027946,22401.298759832473,1564157.5301026094,433689.6955953008
0.1721442885771543,76333.44259692638,22190.698290512682,1549452.4760134974,429612.46532348724
0.17695390781563125,75635.497760501,21987.800546593033,1535285.2602018046,425684.36000509077
0.1817635270541082,74962.39868182536,21792.125648850175,1521622.3753825843,421896.089166531
0.18657314629258517,74312.63773120866,21603.235318143772,1508433.2189722524,418239.1677128585
0.19138276553106212,73684.83466002301,21420.728305953824,1495689.7740285462,414705.82746284624
0.1961923847695391,73077.7229548044,21244.236427416596,1483366.3322595828,411288.940348466
0.20100200400801604,72490.13794719067,21073.421104795347,1471439.252673732,407981.95149639744
0.205811623246493,71921.00641772203,20907.97034522794,1459886.7505526235,404778.82071714726
0.21062124248496994,71369.33747574668,20747.596089447758,1448688.7123271355,401673.9711762204
0.2154308617234469,70834.2145336037,20592.031878619084,1437826.532665551,398662.2442239965
