Geometric_AR,BOR_LF_0.05,BOR_LF_0.09,BOR_LF_0.12,BOR_LF_0.16,BOR_LF_0.20,BOR_LF_0.24,BOR_LF_0.28,BOR_LF_0.31,BOR_LF_0.35,BOR_LF_0.39,BOR_LF_0.42,BOR_LF_0.46,BOR_LF_0.50,BOR_LF_0.54,BOR_LF_0.57,BOR_LF_0.61,BOR_LF_0.65,BOR_LF_0.69,BOR_LF_0.72,BOR_LF_0.76,BOR_LF_0.80,BOR_LF_0.84,BOR_LF_0.88,BOR_LF_0.91,BOR_LF_0.95,Thermal_AR_LF_0.05,Thermal_AR_LF_0.09,Thermal_AR_LF_0.12,Thermal_AR_LF_0.16,Thermal_AR_LF_0.20,Thermal_AR_LF_0.24,Thermal_AR_LF_0.28,Thermal_AR_LF_0.31,Thermal_AR_LF_0.35,Thermal_AR_LF_0.39,Thermal_AR_LF_0.42,Thermal_AR_LF_0.46,Thermal_AR_LF_0.50,Thermal_AR_LF_0.54,Thermal_AR_LF_0.57,Thermal_AR_LF_0.61,Thermal_AR_LF_0.65,Thermal_AR_LF_0.69,Thermal_AR_LF_0.72,Thermal_AR_LF_0.76,Thermal_AR_LF_0.80,Thermal_AR_LF_0.84,Thermal_AR_LF_0.88,Thermal_AR_LF_0.91,Thermal_AR_LF_0.95
1.1979797979797981,0.05488409640508096,0.031482654296970836,0.022122077257894945,0.017081766373465923,0.013931571911954821,0.011776175547870027,0.010208614402435812,0.00901726777472045,0.008081209545346857,0.00732632370030295,0.006704652812273837,0.006183793206096411,0.005741062298612709,0.005360107514118084,0.005028842133161682,0.004738139339807823,0.004480978060758645,0.004251867412633059,0.004046447595708269,0.0038612063860079537,0.003693277726609212,0.0035403011024719433,0.0034003188604960766,0.003271695564464272,0.0031530546515599056,0.8385170220215697,0.8390761548258282,0.8396314290097405,0.8401828843789287,0.8407305601933769,0.8412744951767479,0.8418147275255112,0.8423512949178837,0.8428842345225894,0.8434135830074426,0.8439393765477577,0.8444616508345903,0.844980441082813,0.8454957820390308,0.8460077079893382,0.8465162527669241,0.8470214497595248,0.8475233319167309,0.848021931757152,0.8485172813754392,0.8490094124491726,0.8494983562456134,0.849984143628327,0.8504668050636761,0.8509463706271913
1.2363636363636366,0.05518010852055677,0.03165319172821812,0.02224242480790717,0.01717508859618988,0.014008003298957794,0.011841050041293766,0.01026508387636449,0.009067349427692717,0.008126272189701078,0.007367338750170038,0.0067423345415200675,0.006218682144849774,0.0057735773559277614,0.005390579917927907,0.005057538301204367,0.004765276742055846,0.004506736477978057,0.004276397040432034,0.0040698748981589095,0.0038836384317144645,0.003714805739367444,0.0035610035090489767,0.003420263649514421,0.003290942043458367,0.0031716548288778235,0.8427436131565744,0.8432908464643039,0.8438342843674311,0.8443739662147521,0.8449099308130057,0.8454422164361749,0.8459708608345988,0.8464959012438967,0.847017374393711,0.8475353165162732,0.8480497633547944,0.8485607501716892,0.8490683117566316,0.8495724824344518,0.8500732960728735,0.8505707860900978,0.8510649854622373,0.8515559267306011,0.8520436420088393,0.8525281629899438,0.8530095209531149,0.8534877467704913,0.8539628709137518,0.8544349234605861,0.8549039341010432
1.2747474747474747,0.05547556113648211,0.03182338341301039,0.02236251211250062,0.01726819661234935,0.014084249253525805,0.011905758789701126,0.010321401923257145,0.009117290535153089,0.008171202838164193,0.007408228698851049,0.006779896847406652,0.006253456417152359,0.005805981789956505,0.005420945177160741,0.00508613034908012,0.004792312676590749,0.004532395768565456,0.0043008296123372425,0.004093206971360619,0.003905976860185012,0.003736241580666766,0.0035816150736001084,0.0034401188442847452,0.003310100119779724,0.0031901677596546385,0.8467546603708384,0.8472904649722245,0.8478225358704663,0.8483509119569885,0.8488756315849442,0.8493967325784951,0.8499142522419011,0.8504282273684213,0.8509386942490348,0.8514456886809821,0.8519492459761336,0.8524494009691879,0.8529461880257045,0.853439641049976,0.8539297934927401,0.8544166783587392,0.8549003282141289,0.8553807751937388,0.85585805100819,0.8563321869508719,0.8568032139047819,0.8572711623492312,0.8577360623664186,0.8581979436478779,0.8586568355007981
1.3131313131313131,0.055770214250218775,0.03199309347846335,0.02248224495070339,0.017361018628922587,0.014160252000112727,0.011970253608453829,0.01037752733368591,0.009167055188835205,0.008215969747674245,0.007448965162316634,0.0068173141121710135,0.006288092722935623,0.005838254270664089,0.005451183656934644,0.005114600115926793,0.00481923027598774,0.004557940209045652,0.004325150423639235,0.004116430024091233,0.003928208705456626,0.0037575730347276792,0.0036021242642816365,0.0034598735377051604,0.003329159458081321,0.003208583632585915,0.8505662406558526,0.8510910621288573,0.8516122100864548,0.8521297229635771,0.8526436386608413,0.8531539945538023,0.8536608275020148,0.8541641738579067,0.8546640694754705,0.8551605497187776,0.8556536494703177,0.8561434031391679,0.8566298446689976,0.8571130075459101,0.8575929248061273,0.8580696290435191,0.858543152416983,0.8590135266576752,0.8594807830760997,0.8599449525690548,0.8604060656264445,0.8608641523379541,0.8613192423995955,0.8617713651201245,0.8622205494273333
1.3515151515151516,0.05606386651155448,0.03216220804146808,0.022601544426249287,0.017453494588722362,0.01423596325596077,0.0120344942709818,0.01043342574013173,0.00921661347410141,0.008260546502286692,0.0074895245461577,0.006854565065023133,0.006322571738222482,0.005870377128872839,0.005481279111961168,0.005142932594601524,0.00484601561954956,0.004583356839549468,0.004349347370095735,0.00413953271940648,0.003950323324011018,0.003778790088585282,0.0036225216430043616,0.003479518816692062,0.003348111625579131,0.0032268944548630163,0.8541928709797254,0.8547071311982392,0.855217776585405,0.8557248451217263,0.8562283742574892,0.8567284009219831,0.857224961532529,0.857718092003321,0.8582078277540852,0.8586942037185602,0.8591772543528038,0.85965701364333,0.8601335151150802,0.8606067918392322,0.8610768764408515,0.8615438011063887,0.8620075975910256,0.8624682972258737,0.8629259309250308,0.863380529192495,0.8638321221289432,0.8642807394383745,0.8647264104346237,0.8651691640477461,0.8656090288302776
1.38989898989899,0.05635634921433885,0.03233063178533069,0.022720344578236018,0.01754557433781101,0.014311342746484934,0.012098447262267165,0.010489068543623192,0.009265940528181194,0.008304911174823237,0.00752988729060422,0.006891632095826106,0.006356877486362711,0.005902335776394763,0.005511218148769315,0.005171115430494311,0.004872657264225699,0.004608635023137797,0.004373410532604982,0.004162505781968973,0.003972312022564095,0.0037998845784161794,0.0036427995286529846,0.003499047440880698,0.0033669497849393437,0.0032450937581338657,0.857647693021747,0.8581517915937039,0.8586523325321158,0.8591493533661057,0.8596428910987911,0.8601329822164683,0.8606196626976033,0.8611029680216366,0.8615829331776055,0.8620595926725876,0.8625329805399709,0.8630031303475544,0.8634700752054821,0.8639338477740169,0.8643944802711548,0.8648520044800861,0.8653064517565059,0.8657578530357771,0.8662062388399506,0.866651639284645,0.8670940840857884,0.8675336025662284,0.8679702236622093,0.8684039759297233,0.8688348875507355
1.4282828282828284,0.056647521306822046,0.03249828511724928,0.022838590397444403,0.01763721610429103,0.01438635697311641,0.012162084744439916,0.010544432023166905,0.009315015758907474,0.008349045631479424,0.007570037244413852,0.006928500686036454,0.006390996816748151,0.0059341182253667135,0.005540989780000505,0.005199138506218892,0.004899145855969733,0.004633766080784252,0.004397331833155826,0.004185341672875209,0.003994167749876931,0.0038208498967584603,0.003662951718358176,0.003518453576703884,0.0033856684401543102,0.003263176355210451,0.8609426322636538,0.8614369478941007,0.8619277616256582,0.8624151105399288,0.8628990311968135,0.8633795596436553,0.8638567314241888,0.8643305815873057,0.8648011446956352,0.8652684548339489,0.8657325456173901,0.8661934501995348,0.8666512012802864,0.8671058311136096,0.867557371515106,0.8680058538694366,0.868451309137593,0.8688937678640228,0.8693332601836108,0.8697698158285212,0.8702034641349025,0.8706342340494584,0.8710621541358899,0.8714872525812084,0.8719095572019248
1.4666666666666668,0.05693726522990228,0.032665101797813456,0.022956236172342548,0.017728385230105115,0.014460978186225715,0.012225383694689729,0.01059949659364312,0.009363822193807048,0.008392934952581088,0.007609961143391297,0.006965158934799653,0.0064249189707843435,0.005965714688119794,0.005570585053426225,0.005226993595988105,0.004925473806379754,0.004658742987652564,0.004421104748693505,0.004208034319237219,0.004015884840502526,0.003841680749122167,0.0036829732558032457,0.0035377325764338607,0.003404263225386339,0.0032811381379183047,0.8640885354964846,0.8645734272736714,0.8650548714509075,0.8655329046668028,0.8660075630426408,0.8664788821914781,0.8669468972270511,0.8674116427724964,0.8678731529688894,0.8683314614836048,0.8687866015185036,0.8692386058179515,0.8696875066766716,0.8701333359474359,0.8705761250485999,0.8710159049714831,0.8714527062875996,0.8718865591557429,0.8723174933289267,0.8727455381611869,0.873170722614247,0.8735930752640498,0.8740126243071602,0.8744293975670396,0.8748434225001974
1.5050505050505052,0.05722548343181866,0.03283102695610807,0.02307324410435907,0.01781905310948373,0.01453518352554406,0.012288325183885895,0.010654246184931049,0.00941234593561191,0.008436566948100577,0.007649648174319346,0.0070015971627439555,0.006458635219080744,0.005997117242748651,0.005599996741943558,0.005254674076848653,0.004951635022564016,0.004683560119492336,0.004444724072176998,0.00423057888840872,0.004037458800905558,0.003862372950842241,0.003702860237896566,0.003556880793823325,0.0034227307288623443,0.003298975908606616,0.8670952900839454,0.8675710986886336,0.8680435125872461,0.8685125679804707,0.868978300556099,0.8694407454980784,0.8698999374953722,0.8703559107506337,0.8708086989886984,0.8712583354648995,0.8717048529732089,0.8721482838542112,0.8725886600029114,0.8730260128763828,0.8734603735012573,0.8738917724810624,0.87432024000341,0.8747458058470367,0.8751684993887037,0.8755883496099568,0.8760053851037501,0.8764196340809371,0.8768311243766321,0.8772398834564454,0.8776459384225939
1.5434343434343436,0.05751209543816804,0.03299601542136443,0.02318958314418107,0.017909196296980845,0.014608954298046983,0.012350893770659122,0.010708667720505272,0.009460575705076746,0.008479931750945413,0.007689089608940991,0.007037807579477473,0.006492138557030014,0.006028319552556338,0.005629219083570058,0.005282174686532581,0.004977624680666981,0.004708213040013787,0.004468185712316997,0.004252971598791122,0.0040588861302264245,0.0038829232569188576,0.00372260965287019,0.0035758954297486767,0.0034410683454204616,0.003316687239031335,0.8699719277449821,0.8704389765846284,0.8709026822399963,0.871363080479362,0.8718202065625741,0.8722740952500571,0.8727247808116212,0.8731722970350884,0.8736166772347362,0.8740579542595647,0.8744961605013911,0.8749313279027758,0.8753634879647844,0.8757926717545883,0.876218909912911,0.8766422326613188,0.8770626698093646,0.8774802507615852,0.8778950045243563,0.8783069597126095,0.8787161445564132,0.8791225869074208,0.879526314245191,0.8799273536833804,0.8803257319758135
