Aspect Ratio,Thermal Aspect Ratio,Boil-Off Rate (BOR)
0.02,0.05933961037569582,0.004707263381606042
0.04000000000000001,0.1120336866365981,0.0031414190275942462
0.060000000000000005,0.15913844897249854,0.0025316249659784926
0.08,0.20149814353658738,0.0022006227788912776
0.1,0.2397952481066856,0.0019919182655937875
0.12000000000000001,0.2745873896208666,0.0018484816795556617
0.14,0.306334627591437,0.0017442305943794589
0.16,0.3354198915640412,0.001665443172191509
0.18000000000000002,0.3621644911281876,0.0016041733975650082
0.2,0.38684002932818945,0.0015554853599568836
0.22000000000000003,0.4096776556677128,0.0015161438255612816
0.24000000000000002,0.43087532668640155,0.0014839362726159896
0.26,0.4506035571686315,0.0014572965519357938
0.28,0.4690100157307484,0.0014350839710238577
0.30000000000000004,0.4862232268780476,0.0014164475200290998
0.32,0.5023555758347583,0.0014007391557764315
0.34,0.5175057646696242,0.0013874565790125877
0.36000000000000004,0.5317608331536758,0.0013762043968953974
0.38,0.5451978317564586,0.0013666671106662123
0.4,0.5578852146883069,0.0013585899197754731
0.42000000000000004,0.5698840061578778,0.0013517648185052264
0.44000000000000006,0.5812487817790501,0.0013460203534764552
0.46,0.5920284984281174,0.0013412139622552461
0.48000000000000004,0.602267199168289,0.0013372261632625837
0.5,0.6120046146468107,0.001333956094327123
0.52,0.6212766782788917,0.0013313180476564267
0.54,0.6301159693005862,0.0013292387505457173
0.56,0.6385520952039986,0.0013276552108228163
0.5800000000000001,0.6466120230147805,0.0013265129946523327
0.6000000000000001,0.6543203672214947,0.0013257648386601113
0.6200000000000001,0.661699640833027,0.0013253695230098117
0.64,0.6687704749575986,0.0013252909498990384
0.66,0.6755518114137338,0.0013254973850883923
0.68,0.6820610721597771,0.00132596082977459
0.7000000000000001,0.6883143087328845,0.00132665649742586
0.7200000000000001,0.6943263343961157,0.0013275623756794919
0.7400000000000001,0.7001108412837992,0.0013286588576138403
0.76,0.7056805044951309,0.0013299284299248721
0.78,0.7110470748015867,0.0013313554080355504
0.8,0.7162214613951632,0.0013329257101142745
0.8200000000000001,0.7212138059036647,0.0013346266635124024
0.8400000000000001,0.726033548729691,0.0013364468383304702
0.8600000000000001,0.7306894886263526,0.0013383759037981576
0.8800000000000001,0.7351898363006997,0.001340404503909376
0.9,0.7395422627318693,0.0013425241493750313
0.92,0.7437539428020993,0.0013447271234662199
0.9400000000000001,0.747831594762619,0.001347006399710593
0.9600000000000001,0.7517815159910344,0.001349355569747664
0.9800000000000001,0.7556096154404902,0.0013517687799177761
1.0,0.7593214431322702,0.0013542406753811798
1.02,0.762922217001411,0.0013567663507498494
1.04,0.7664168473684074,0.0013593413063695474
1.06,0.769809959278358,0.0013619614095190745
1.08,0.7731059129212581,0.0013646228598926872
1.1,0.7763088223230171,0.0013673221588319775
1.12,0.7794225724756721,0.0013700560818443804
1.1400000000000001,0.782450835056766,0.0013728216540074907
1.1600000000000001,0.7853970828716177,0.001375616127914773
1.1800000000000002,0.7882646031379135,0.0013784369638654888
1.2000000000000002,0.7910565097194607,0.0013812818120405395
1.2200000000000002,0.7937757544048151,0.0013841484964324394
1.2400000000000002,0.7964251373166626,0.0013870350003420701
1.26,0.799007316529124,0.0013899394532612501
1.28,0.8015248169624146,0.0013928601189935625
1.3,0.803980038617428,0.0013957953848834248
1.32,0.8063752642066913,0.0013987437520302922
1.34,0.808712666232693,0.0014017038263918831
1.36,0.8109943135597173,0.0014046743106803576
1.3800000000000001,0.8132221775209688,0.0014076539969739455
1.4000000000000001,0.8153981375988774,0.0014106417599722087
1.4200000000000002,0.8175239867129867,0.0014136365508281307
1.4400000000000002,0.8196014361466901,0.001416637391508213
1.4600000000000002,0.821632120141271,0.001419643369620164
1.4800000000000002,0.8236176001831634,0.0014226536336741794
1.5000000000000002,0.825559369008072,0.0014256673887277952
1.52,0.8274588543435277,0.0014286838923848262
1.54,0.8293174224096022,0.001431702451115735
1.56,0.8311363811958129,0.0014347224168657783
1.58,0.8329169835307432,0.0014377431839307508
1.6,0.8346604299595082,0.0014407641860736545
1.62,0.8363678714429613,0.00144378489386221
1.6400000000000001,0.8380404118913884,0.0014468048122066885
1.6600000000000001,0.8396791105444125,0.0014498234780851217
1.6800000000000002,0.8412849842078913,0.0014528404584336833
1.7000000000000002,0.8428590093577312,0.001455855348194135
1.7200000000000002,0.8444021241197656,0.0014588677685035579
1.7400000000000002,0.8459152301341328,0.0014618773650119283
1.7600000000000002,0.847399194311939,0.0014648838063229068
1.7800000000000002,0.8488548504913955,0.0014678867825418719
1.8,0.8502830010000814,0.0014708860039275443
1.82,0.8516844181294776,0.0014738811996359883
1.84,0.8530598455274715,0.001476872116550983
1.86,0.8544099995141001,0.0014798585181949357
1.8800000000000001,0.8557355703254316,0.0014828401837123305
1.9000000000000001,0.8570372232901166,0.001485816906921707
1.9200000000000002,0.8583155999428245,0.001488788495430049
1.9400000000000002,0.8595713190784838,0.0014917547698064082
1.9600000000000002,0.86080497775096,0.0014947155628083537
1.9800000000000002,0.8620171522195613,0.0014976707186600453
2.0,0.863208398846524,0.0015006200923739499
