Aspect Ratio,Thermal Aspect Ratio,Boil-Off Rate (BOR)
0.02,0.17689452437166628,0.005887801575897004
0.04000000000000001,0.30064183525530086,0.0043696421601503626
0.060000000000000005,0.39205555491413197,0.0038306001555361677
0.08,0.4623415442709709,0.003567914290469661
0.1,0.518064634378772,0.003422878252559858
0.12000000000000001,0.56332544286445,0.003338702944885822
0.14,0.6008172881417606,0.0032898339437478106
0.16,0.6323821567542087,0.0032630464570605586
0.18000000000000002,0.6593224209801537,0.0032508192577733815
0.2,0.6825849458433122,0.0032485733562857702
0.22000000000000003,0.7028746374613372,0.003253373129128756
0.24000000000000002,0.7207270856656488,0.0032632583639894
0.26,0.7365565188224047,0.0032768764279376655
0.28,0.7506883344224371,0.003293268370043689
0.30000000000000004,0.7633816987066775,0.003311738854106568
0.32,0.7748455810110193,0.0033317740448091694
0.34,0.7852503451346776,0.0033529880833658415
0.36000000000000004,0.7947362705936417,0.003375087223010905
0.38,0.8034199123157748,0.0033978452136667874
0.4,0.8113989125184964,0.0034210860477399295
0.42000000000000004,0.8187556871197371,0.003444671638517793
0.44000000000000006,0.8255602822665068,0.003468492874209698
0.46,0.8318726110549282,0.0034924630259963656
0.48000000000000004,0.8377442218632706,0.0035165128256099223
0.5,0.8432197088683084,0.0035405867451915023
0.52,0.8483378464581611,0.003564640154989655
0.54,0.8531325086025069,0.003588637130137203
0.56,0.8576334192810541,0.003612548742911455
0.5800000000000001,0.8618667691119318,0.003636351721968223
0.6000000000000001,0.8658557252087518,0.003660027391677404
0.6200000000000001,0.8696208552301544,0.00368356082717363
0.64,0.873180482009932,0.003706940176921277
0.66,0.8765509816738365,0.0037301561163657682
0.68,0.879747035477936,0.003753201404898121
0.7000000000000001,0.8827818435384497,0.0037760705247887254
0.7200000000000001,0.8856673070152046,0.0037987593855581666
0.7400000000000001,0.8884141840504767,0.0038212650808911487
0.76,0.8910322237705458,0.0038435856879679283
0.78,0.8935302818678958,0.0038657201012125366
0.8,0.8959164206516944,0.003887667894100629
0.8200000000000001,0.8981979959481585,0.003909429203941906
0.8400000000000001,0.9003817328240011,0.00393100463555662
0.8600000000000001,0.9024737917748757,0.003952395180546005
0.8800000000000001,0.9044798267507538,0.003973602149485285
0.9,0.9064050361691084,0.003994627114858403
0.92,0.9082542078850117,0.004015471862951869
0.9400000000000001,0.9100317589371449,0.004036138353243782
0.9600000000000001,0.9117417707642852,0.004056628684080606
0.9800000000000001,0.9133880204832551,0.004076945063641824
1.0,0.9149740087328209,0.004097089785364128
1.02,0.9165029845154921,0.0041170652071339745
1.04,0.9179779674081853,0.0041368737336715125
1.06,0.9194017674612304,0.004156517801621384
1.08,0.9207770030616246,0.004175999866947433
1.1,0.9221061169994339,0.004195322394284466
1.12,0.9233913909447303,0.0042144878479626405
1.1400000000000001,0.9246349585155432,0.004233498684458773
1.1600000000000001,0.9258388170942531,0.004252357346064928
1.1800000000000002,0.9270048385300738,0.0042710662556028475
1.2000000000000002,0.9281347788482335,0.004289627812028459
1.2200000000000002,0.9292302870717685,0.004308044386805265
1.2400000000000002,0.9302929132491294,0.004326318320930118
1.26,0.9313241157697818,0.004344451922524091
1.28,0.9323252680403984,0.0043624474649031
1.3,0.9332976645859129,0.004380307185065113
1.32,0.9342425266324154,0.004398033282526648
1.34,0.9351610072225179,0.004415627918468323
1.36,0.9360541959082357,0.004433093215133185
1.3800000000000001,0.9369231230615404,0.004450431255453206
1.4000000000000001,0.9377687638384394,0.004467644082859638
1.4200000000000002,0.9385920418286398,0.0044847337012553275
1.4400000000000002,0.9393938324195117,0.004501702075125987
1.4600000000000002,0.940174965900108,0.00451855112976216
1.4800000000000002,0.9409362303283759,0.004535282751581741
1.5000000000000002,0.9416783741823734,0.004551898788531324
1.52,0.9424021088142381,0.004568401050559127
1.54,0.9431081107238182,0.004584791310137667
1.56,0.9437970236672417,0.004601071302838248
1.58,0.9444694606142369,0.004617242727937047
1.6,0.9451260055667097,0.004633307249053634
1.62,0.9457672152499187,0.004649266494812306
1.6400000000000001,0.9463936206865423,0.004665122059517135
1.6600000000000001,0.9470057286629875,0.004680875503843592
1.6800000000000002,0.9476040230964511,0.004696528355532592
1.7000000000000002,0.9481889663104841,0.004712082110094391
1.7200000000000002,0.9487610002261231,0.004727538231509039
1.7400000000000002,0.9493205474750384,0.004742898152928317
1.7600000000000002,0.9498680124405908,0.004758163277372266
1.7800000000000002,0.9504037822321874,0.004773334978421269
1.8,0.9509282275978665,0.00478841460089946
1.82,0.9514417037796349,0.004803403461550042
1.84,0.9519445513157029,0.004818302849703526
1.86,0.9524370967934255,0.0048331140279302
1.8800000000000001,0.9529196535564436,0.004847838232685986
1.9000000000000001,0.9533925223692488,0.004862476674943865
1.9200000000000002,0.9538559920421256,0.0048770305408135095
1.9400000000000002,0.9543103400192073,0.004891500992148912
1.9600000000000002,0.9547558329321552,0.004905889167141157
1.9800000000000002,0.955192727121785,0.0049201961809011265
2.0,0.9556212691297867,0.004934423126024131
