a,tau_rq_03_LF95,tau_rq_07_LF95,tau_rq_03_LF05,tau_rq_07_LF05
0.1,39891.88530007497,91618.24426854656,833321.6481744937,1913859.5667368744
0.10480961923847695,39272.10502972459,90194.81742936229,820374.7465049089,1884124.887847616
0.10961923847695391,38689.13037483345,88855.92071058304,808196.6958411332,1856156.0011420674
0.11442885771543086,38139.29908733394,87593.14316006894,796710.9936420413,1829777.2060122667
0.11923847695390782,37619.44824918385,86399.22061881579,785851.5681224533,1804836.7577886311
0.12404809619238477,37126.82923738388,85267.84042419927,775561.0019146317,1781202.7880878295
0.12885771543086172,36659.039839536665,84193.48550224416,765789.1139960664,1758760.0479778177
0.13366733466933867,36213.969561699305,83171.30875815592,756491.8171977068,1737407.2840584929
0.13847695390781564,35789.75519094439,82197.03101846788,747630.1899279591,1717055.1065239047
0.1432865731462926,35384.74440677312,81266.85745869558,739169.716033199,1697624.243377501
0.14809619238476954,34997.46576692346,80377.40867083221,731079.6578162293,1679044.1004663885
0.1529058116232465,34626.60378366081,79525.66342197046,723332.5353923833,1661251.5657374037
0.15771543086172346,34270.97809685872,78708.9108218736,715903.6916255398,1644190.0100414571
0.1625250501002004,33929.52596807485,77924.71011775502,708770.9264380712,1627808.4472664723
0.16733466933867736,33601.28748500166,77170.85671387793,701914.1877391776,1612060.8245037133
0.1721442885771543,33285.39299201007,76445.35330374105,695315.3088551927,1596905.4190135065
0.17695390781563125,32981.052359951405,75746.38522642279,688957.7843810836,1582304.3234315151
0.1817635270541082,32687.54578414315,75072.29933264894,682826.5779549456,1568223.0042914113
0.18657314629258517,32404.215858800442,74421.58578242752,676907.9566968197,1554629.9217865097
0.19138276553106212,32130.46072297684,73792.86230357982,671189.3480308028,1541496.2009383154
0.1961923847695391,31865.72811023517,73184.86052583554,665659.2153856299,1528795.3461225631
0.20100200400801604,31609.51016395556,72596.41407333895,660306.9498890381,1516502.9923275928
0.205811623246493,31361.338904046082,72026.44815320791,655122.7756696029,1504596.687664524
0.21062124248496994,31120.78225010218,71473.97042206855,650097.6667825206,1493055.7025737066
0.2154308617234469,30887.440521728633,70938.06294847182,645223.274103071,1481860.8619236008
0.22024048096192383,30660.943349530527,70417.8751184787,640491.8607987559,1470994.396811976
0.2250501002004008,30440.946940778267,69912.61735581214,635896.2452104007,1460439.8133830137
0.22985971943887776,30227.131652406213,69421.55554785128,631429.7501533027,1450181.776389091
0.2346693386773547,30019.199831169888,68944.00608519911,627086.1577991891,1440206.0055698215
0.23947895791583165,29816.8738867451,68479.33143623888,622859.6694242161,1430499.1832067347
0.24428857715430863,29619.89456852588,68026.93618951872,618744.8694121339,1421048.8714506633
0.24909819639278558,29428.01942104663,67586.2635063757,614736.6929888243,1411843.438218819
0.2539078156312625,29241.021396459462,67156.791934263,610830.3972376417,1402871.9906267857
0.25871743486973947,29058.687605457508,66738.03253804073,607021.5350068219,1394124.3150626062
0.2635270541082164,28880.818190540595,66329.52631224622,603305.9313725629,1385590.823130402
0.2683366733466934,28707.22530765032,65930.84184225218,599679.662365888,1377262.502793123
0.2731462925851703,28537.732204015854,65541.57318638884,596139.035709303,1369130.8741311377
0.2779559118236473,28372.172381604654,65161.3379546712,592680.5733416966,1361187.949207799
0.2827655310621242,28210.388836902297,64789.77556282946,589300.9955377209,1353426.1955970053
0.2875751503006012,28052.233368890113,64426.54564296607,585997.2064517869,1345838.5031826217
0.29238476953907816,27897.565948075917,64071.32659443155,582766.2809374307,1338418.1538869913
0.2971943887775551,27746.254140285146,63723.81426046662,579605.452510597,1331158.7940266524
0.30200400801603206,27598.172579659484,63383.72071785723,576512.102340842,1324054.4090288286
0.306813627254509,27453.20248595096,63050.773168321466,573483.749167848,1317099.3002730566
0.311623246492986,27311.231221759237,62724.71292163248,570518.0400523291,1310288.063849128
0.3164328657314629,27172.151885846768,62405.29446160016,567612.7418805887,1303615.5710459116
0.3212424849699399,27035.86293909344,62092.284587014794,564765.733550896,1297076.9504060925
0.3260521042084168,26902.267860026015,61785.4616205141,561974.99877767,1290667.571199799
0.3308617234468938,26771.274827186266,61484.61467908948,559238.619456305,1284383.0281858402
0.33567134268537074,26642.796425889974,61189.54300061019,556554.7695375134,1278219.1275431325
0.3404809619238477,26516.74937718456,60900.055321330205,553921.7093653854,1272171.8738671234
0.34529058116232464,26393.0542870375,60615.96929985826,551337.780438059,1266237.458136817
0.3501002004008016,26271.635413987155,60337.11098353002,548801.4005540627,1260412.2465675515
0.3549098196392786,26152.42045366416,60063.314313526156,546311.0593110725,1254692.770273161
0.3597194388777555,26035.3403387481,59794.420665440055,543865.3139271076,1249075.7156686664
0.3645290581162325,25920.329053064128,59530.2784223204,541462.7853571016,1243557.9155513437
0.3693386773547094,25807.32345864795,59270.74257749748,539102.1546803747,1238136.3408039657
0.3741482965931864,25696.26313471888,59015.67436475853,536782.1597368617,1232808.092669347
0.3789579158316633,25587.090227599612,58764.94091366387,534501.5919920113,1227570.395550071
0.3837675350701403,25479.749310710093,58518.41492799993,532259.2936121258,1222420.5902915334
0.3885771543086173,25374.187253842534,58275.97438554796,530054.1547335831,1217356.1279102575
0.39338677354709417,25270.35310099585,58037.50225751073,527885.1109108574,1212374.5637328613
0.3981963927855712,25168.197956112046,57802.8862460876,525751.1407296108,1207473.5519141273
0.40300601202404807,25067.674876114994,57572.01853882033,523651.2635723242,1202650.8403054115
0.40781563126252507,24968.73877070379,57344.79557845236,521584.53752503265,1197904.265647117
0.41262525050100196,24871.346308400254,57121.11784715136,519550.0574147032,1193231.749061211
0.41743486973947896,24775.455828392263,56900.88966404307,517546.9529676853,1188631.2918218048
0.42224448897795586,24681.027257753332,56684.018995092505,515574.3870804711,1184100.9713836715
0.42705410821643286,24588.02203365339,56470.41727444823,513631.5541947148,1179638.937650213
0.43186372745490986,24496.403030207362,56259.99923643829,511717.6787691378,1175243.4094639395
0.43667334669338675,24406.13448963701,56052.68275747198,509832.013841533,1170912.671303875
0.44148296593186376,24317.181957447046,55848.3887071612,507973.8396746255,1166645.07017556
0.44629258517034065,24229.512221340796,55647.040808030266,506142.46248005226,1162439.0126804544
0.45110220440881765,24143.093253621777,55448.56550323183,504337.21321515937,1158292.9622525934
0.45591182364729455,24057.894156847673,55252.89183173217,502557.4464477401,1154205.4365512657
0.46072144288577155,23973.885112520653,55059.951310470184,500802.53928420186,1150175.004999379
0.46553106212424844,23891.03733261488,54869.67782303239,499071.8903569988,1146200.2864579295
0.47034068136272544,23809.323013756693,54682.007514420184,497364.9188674806,1142279.947027749
0.47515030060120245,23728.715293886904,54496.87869151778,495681.0636805872,1138412.6979703233
0.47995991983967934,23649.188211247085,54314.231728897386,494019.7824680948,1134597.2937401151
0.48476953907815634,23570.716665543412,54134.008979625716,492380.55089734547,1130832.5301213514
0.48957915831663323,23493.27638115193,53956.15469075882,490762.86186262616,1127117.242462756
0.49438877755511024,23416.843872239333,53780.61492323625,489166.224756557,1123450.3040041772
0.49919839679358713,23341.396409681838,53607.33747590484,487590.16477904393,1119830.6242894803
0.5040080160320641,23266.911989672983,53436.271813421365,486034.2222815109,1116257.1476604752
0.508817635270541,23193.3693039193,53267.36899780202,484497.9521443026,1112728.8518270121
0.513627254509018,23120.74771132893,53100.58162340077,482980.92318527406,1109244.7465087192
0.518436873747495,23049.02721110566,52935.86375511527,481482.717597737,1105803.8721441473
0.5232464929859719,22978.18841716585,52773.17086963124,480002.930416044,1102405.298663401
0.5280561122244489,22908.212533802118,52612.459799530145,478541.16900721384,1099048.1243205706
0.5328657314629258,22839.081332521964,52453.68868009521,477097.052587102,1095731.4745825403
0.5376753507014028,22770.77712999482,52296.81689866332,475670.21175972576,1092454.5010709714
0.5424849699398797,22703.282767044897,52141.80504637855,474260.28807843477,1089216.380554459
