Geometric_AR,BOR_LF_0.05,BOR_LF_0.50,BOR_LF_0.95,Thermal_AR_LF_0.05,Thermal_AR_LF_0.50,Thermal_AR_LF_0.95
0.2,0.02073846507955354,0.0021239101536677037,0.001143439095612501,0.46288893978553985,0.4749732582746381,0.48652577784841883
0.24848484848484853,0.01994923403356221,0.0020490361094624545,0.001106022520132403,0.5170855311659288,0.5291907136477075,0.5407038572375852
0.296969696969697,0.019493632909063995,0.0020070440339584124,0.0010856663135801433,0.5613483938769861,0.5732597184346324,0.5845412545962239
0.3454545454545455,0.019232614162577124,0.0019841499299212196,0.0010751808872104733,0.5981792794681824,0.6097857046305071,0.6207404594492095
0.393939393939394,0.019093672198522746,0.0019731815823138803,0.0010708322109260167,0.6293049528029273,0.6405525684950018,0.6511377347094524
0.44242424242424244,0.019035387426349488,0.0019700511829621736,0.0010704964316993267,0.6559557077064667,0.6668228089298944,0.6770244263669043
0.49090909090909096,0.01903246246410201,0.0019722682059617838,0.0010728824933712263,0.6790318272346246,0.6895150454348731,0.6993351325285427
0.5393939393939394,0.019068636829243934,0.0019782360320353075,0.001077164767139623,0.6992072795315203,0.7093136342654401,0.7187629371509985
0.5878787878787879,0.019133029409567195,0.001986889272928749,0.001082793805218111,0.7169966261930656,0.7267388681086574,0.7358326885112052
0.6363636363636365,0.01921811863875655,0.0019974937278608956,0.0010893920638909741,0.7327995189368777,0.7421933600187182,0.7509491240092682
0.6848484848484849,0.01931856489733234,0.002009529899405301,0.0010966932510049691,0.7469310796124478,0.7559935333266079,0.7644293694326871
0.7333333333333334,0.019430492624851744,0.002022622074687312,0.0011045054427232359,0.7596431260670861,0.7683915136438446,0.7765254277668564
0.781818181818182,0.01955103602287054,0.0020364935069179914,0.001112687803649352,0.7711393080179092,0.7795906708789686,0.7874400792016755
0.8303030303030304,0.019678042291273262,0.002050937179570041,0.0011211354209739695,0.781586098402867,0.7897568610130922,0.7973383395968258
0.8787878787878789,0.019809872404561304,0.002065796208506295,0.0011297691522657546,0.7911209064150232,0.7990266945485364,0.8063558604977298
0.9272727272727274,0.019945264155863285,0.0020809503900803385,0.0011385286670796487,0.7998581548110877,0.8075137103693935,0.814605182539788
0.9757575757575758,0.020083236026579895,0.0020963067741356254,0.001147367577948366,0.8078938935076851,0.8153130489745161,0.822180456083264
1.0242424242424244,0.020223018459307608,0.0021117929355248255,0.0011562499706092096,0.8153093448789773,0.8225050340484973,0.8291610501858817
1.0727272727272728,0.020364003911692397,0.0021273520927502345,0.0011651478909373459,0.8221736586275336,0.8291579487327301,0.8356143437933233
1.1212121212121213,0.02050571002402879,0.002142939514750338,0.0011740394982418412,0.8285460744585279,0.8353302102110363,0.8415979074702807
