LF,Optimal_Geometric_AR,Optimal_Thermal_AR,Min_BOR
0.05,2.250842088216838,0.6667679491088133,0.08468905952049899
0.0590909090909091,2.248036476994393,0.6667744644093475,0.0717143863459393
0.06818181818181819,2.245230865771948,0.6667802244466402,0.0621996036747412
0.07727272727272728,2.242425254549503,0.6667852293686005,0.05492357371572121
0.08636363636363636,2.2394809821663526,0.6667758013614569,0.049179321966892786
0.09545454545454546,2.236675370943908,0.6667792780864484,0.04452919751282147
0.10454545454545455,2.233869759721463,0.6667820000096762,0.04068777588537009
0.11363636363636365,2.231064148499018,0.6667839672298731,0.03746096842951774
0.12272727272727274,2.2282585372765733,0.6667851798332478,0.03471219424000127
0.13181818181818183,2.2254529260541283,0.6667856378933465,0.032342549902779405
0.14090909090909093,2.2226473148316837,0.6667853414708979,0.030278655465606263
0.15000000000000002,2.2198417036092386,0.6667842906136028,0.028464920055664367
0.15909090909090912,2.2170360923867936,0.6667824853559798,0.02685845928544417
0.1681818181818182,2.2142304811643485,0.6667799257191086,0.025425661067520533
0.17727272727272728,2.211424869941904,0.6667766117103409,0.024139808101709903
0.18636363636363637,2.2088813991619602,0.6667987885271996,0.022979396228361093
0.19545454545454546,2.206075787939515,0.6667940016656431,0.0219269220250895
0.20454545454545456,2.2032701767170706,0.6667884604814126,0.020967993833469034
0.21363636363636365,2.2004645654946255,0.666782164923307,0.020090669622588653
0.22272727272727275,2.1976589542721805,0.6667751149236599,0.019284957080915266
0.23181818181818184,2.1948533430497355,0.6667673103975038,0.01854243131837885
0.24090909090909093,2.1924485334304973,0.6667992030757515,0.017855939120525743
0.25,2.1896429222080527,0.6667899451218392,0.017219367729337964
0.2590909090909091,2.186837310985607,0.6667799324451585,0.016627462353453693
0.2681818181818182,2.1840316997631626,0.6667691648750705,0.016075680696846506
0.2772727272727273,2.181626890143924,0.6667983089804052,0.015560076169581105
0.2863636363636364,2.1786826177607743,0.6667720001088472,0.015077203317362509
0.29545454545454547,2.1758770065383293,0.6667590036882896,0.014624040800916838
0.30454545454545456,2.1734721969190907,0.6667860821414939,0.014197927957637413
0.31363636363636366,2.1706665856966456,0.6667716309059516,0.013796512681604423
0.32272727272727275,2.1682617760774074,0.6667973583284892,0.013417707860330363
0.33181818181818185,2.1654561648549624,0.6667814511550443,0.013059655077317656
0.34090909090909094,2.162650553632518,0.6667647865155827,0.012720694208930627
0.35000000000000003,2.160245744013279,0.6667884616252754,0.012399337559140466
0.3590909090909091,2.157440132790834,0.6667703374986584,0.012094248107826333
0.3681818181818182,2.155035323171596,0.6667926571409044,0.011804220889894523
0.3772727272727273,2.152229711949151,0.6667730693087699,0.011528167053543648
0.3863636363636364,2.1496862411692073,0.6667797380223401,0.011265100262427108
0.3954545454545455,2.146880629946762,0.666758659234405,0.011014124860640129
0.4045454545454546,2.144475820327524,0.6667782333622633,0.010774425677976707
0.4136363636363637,2.141670209105079,0.6667556725440706,0.010545259255157369
0.4227272727272728,2.1392653994858404,0.6667738644732855,0.01032594602338821
0.4318181818181819,2.1368605898666018,0.6667913822392976,0.010115863702432781
0.440909090909091,2.134054978644157,0.666766591317,0.009914441272982133
0.45000000000000007,2.1316501690249186,0.6667826896712621,0.009721153898429868
0.45909090909090916,2.128844557802474,0.6667563511440937,0.009535518289386369
0.46818181818181825,2.126439748183235,0.6667709874317491,0.009357088677076186
0.47727272727272735,2.1240349385639967,0.6667848953188911,0.00918545328080378
0.48636363636363644,2.1212293273415517,0.6667561589545671,0.009020231069005957
0.4954545454545455,2.118685856561608,0.6667539851525557,0.00886106897950012
0.5045454545454546,2.1162810469423694,0.666765511748207,0.008707639376428045
0.5136363636363637,2.1138762373231312,0.6667762105585376,0.008559637822502575
0.5227272727272728,2.1114714277038926,0.6667860458302421,0.008416781030716525
0.5318181818181819,2.1086658164814476,0.6667528138152833,0.008278805052487792
0.540909090909091,2.106261006862209,0.6667607445309499,0.008145463687941668
0.55,2.103856197242971,0.6667676755974856,0.008016526983685823
0.5590909090909092,2.101451387623732,0.6667735531054816,0.007891779915059294
0.5681818181818182,2.098645776401287,0.6667359417479939,0.007771021191212313
0.5772727272727274,2.096240966782049,0.6667394869203561,0.007654062166315478
0.5863636363636364,2.0938361571628104,0.6667418015068716,0.007540725881799215
0.5954545454545456,2.0914313475435717,0.666742825816008,0.007430846146933456
0.6045454545454546,2.0888878767636285,0.6667277671636643,0.007324266741470575
0.6136363636363638,2.08648306714439,0.666726023817381,0.00722084066513462
0.6227272727272728,2.0840782575251517,0.6667228297440458,0.007120429487851965
0.6318181818181818,2.081673447905913,0.6667181421928235,0.0070229027190564786
0.640909090909091,2.0792686382866745,0.6667119253393826,0.0069281372519633955
0.65,2.076863828667436,0.6667041505849192,0.006836016850337856
0.6590909090909092,2.0744590190481977,0.6666947963549911,0.006746431677942644
0.6681818181818182,2.072054209428959,0.6666838476457828,0.006659277866339464
0.6772727272727274,2.069649399809721,0.6666712951437098,0.006574457117311194
0.6863636363636364,2.067244590190482,0.666657134211898,0.006491876336530922
0.6954545454545455,2.06524058217445,0.6666844792876193,0.006411447292824279
0.7045454545454546,2.0628357725552116,0.6666671545425027,0.006333086307776403
0.7136363636363637,2.060292301775268,0.6666332733688366,0.006256713977259354
0.7227272727272728,2.0578874921560293,0.6666127255965982,0.006182254889031569
0.7318181818181819,2.055883484139997,0.6666339060165783,0.006109637364980713
0.740909090909091,2.0534786745207585,0.6666102277671876,0.006038793270634946
0.7500000000000001,2.0510738649015203,0.6665849655792887,0.005969657769155479
0.7590909090909091,2.049069856885488,0.6666015999052378,0.005902169121617451
0.7681818181818183,2.0466650472662495,0.6665732412999237,0.0058362685235251455
0.7772727272727273,2.0442602376470114,0.6665433158119862,0.005771899931940494
0.7863636363636365,2.042256229630979,0.6665554568199531,0.005709009868380521
0.7954545454545455,2.0398514200117406,0.6665224695016546,0.005647547342864545
0.8045454545454547,2.0378474119957084,0.6665316589198091,0.005587463631105516
0.8136363636363637,2.0358434039796767,0.6665394032330174,0.005528712226603005
0.8227272727272729,2.033438594360438,0.6665018938478391,0.005471248641959248
0.8318181818181819,2.031295925183701,0.6664915455277506,0.005415030371221707
