a,tau_ru_0.25_LF_0.05,tau_ru_0.25_LF_0.95,tau_ru_0.33_LF_0.05,tau_ru_0.33_LF_0.95,tau_ru_0.40_LF_0.05,tau_ru_0.40_LF_0.95,tau_ru_0.48_LF_0.05,tau_ru_0.48_LF_0.95,tau_ru_0.56_LF_0.05,tau_ru_0.56_LF_0.95,tau_ru_0.63_LF_0.05,tau_ru_0.63_LF_0.95,tau_ru_0.71_LF_0.05,tau_ru_0.71_LF_0.95,tau_ru_0.79_LF_0.05,tau_ru_0.79_LF_0.95,tau_ru_0.86_LF_0.05,tau_ru_0.86_LF_0.95,tau_ru_0.94_LF_0.05,tau_ru_0.94_LF_0.95,tau_ru_1.02_LF_0.05,tau_ru_1.02_LF_0.95,tau_ru_1.09_LF_0.05,tau_ru_1.09_LF_0.95,tau_ru_1.17_LF_0.05,tau_ru_1.17_LF_0.95,tau_ru_1.24_LF_0.05,tau_ru_1.24_LF_0.95,tau_ru_1.32_LF_0.05,tau_ru_1.32_LF_0.95,tau_ru_1.40_LF_0.05,tau_ru_1.40_LF_0.95,tau_ru_1.47_LF_0.05,tau_ru_1.47_LF_0.95,tau_ru_1.55_LF_0.05,tau_ru_1.55_LF_0.95,tau_ru_1.63_LF_0.05,tau_ru_1.63_LF_0.95,tau_ru_1.70_LF_0.05,tau_ru_1.70_LF_0.95,tau_ru_1.78_LF_0.05,tau_ru_1.78_LF_0.95,tau_ru_1.86_LF_0.05,tau_ru_1.86_LF_0.95,tau_ru_1.93_LF_0.05,tau_ru_1.93_LF_0.95,tau_ru_2.01_LF_0.05,tau_ru_2.01_LF_0.95,tau_ru_2.09_LF_0.05,tau_ru_2.09_LF_0.95,tau_ru_2.16_LF_0.05,tau_ru_2.16_LF_0.95,tau_ru_2.24_LF_0.05,tau_ru_2.24_LF_0.95,tau_ru_2.32_LF_0.05,tau_ru_2.32_LF_0.95,tau_ru_2.39_LF_0.05,tau_ru_2.39_LF_0.95,tau_ru_2.47_LF_0.05,tau_ru_2.47_LF_0.95,tau_ru_2.55_LF_0.05,tau_ru_2.55_LF_0.95,tau_ru_2.62_LF_0.05,tau_ru_2.62_LF_0.95,tau_ru_2.70_LF_0.05,tau_ru_2.70_LF_0.95,tau_ru_2.78_LF_0.05,tau_ru_2.78_LF_0.95,tau_ru_2.85_LF_0.05,tau_ru_2.85_LF_0.95,tau_ru_2.93_LF_0.05,tau_ru_2.93_LF_0.95,tau_ru_3.01_LF_0.05,tau_ru_3.01_LF_0.95,tau_ru_3.08_LF_0.05,tau_ru_3.08_LF_0.95,tau_ru_3.16_LF_0.05,tau_ru_3.16_LF_0.95,tau_ru_3.23_LF_0.05,tau_ru_3.23_LF_0.95,tau_ru_3.31_LF_0.05,tau_ru_3.31_LF_0.95,tau_ru_3.39_LF_0.05,tau_ru_3.39_LF_0.95,tau_ru_3.46_LF_0.05,tau_ru_3.46_LF_0.95,tau_ru_3.54_LF_0.05,tau_ru_3.54_LF_0.95,tau_ru_3.62_LF_0.05,tau_ru_3.62_LF_0.95,tau_ru_3.69_LF_0.05,tau_ru_3.69_LF_0.95,tau_ru_3.77_LF_0.05,tau_ru_3.77_LF_0.95,tau_ru_3.85_LF_0.05,tau_ru_3.85_LF_0.95,tau_ru_3.92_LF_0.05,tau_ru_3.92_LF_0.95,tau_ru_4.00_LF_0.05,tau_ru_4.00_LF_0.95
0.2,1602324.9388634171,78500.61832230954,1487183.4490260484,73223.5335571102,1387480.4707781,68611.24676542447,1300306.0310577475,64545.57692602186,1223438.2507279492,60934.78800384105,1155151.3127057413,57706.5839357172,1094084.3405788501,54803.218257104956,1039149.7792720441,52178.009294259085,989468.0576200405,49792.8111564428,944320.1384236278,47616.1480525585,903112.4920500609,45621.81745579472,865350.8573381503,43787.830183162245,830620.3210815099,42095.59624652,798570.0094295717,40529.292461989244,768901.1917986636,39075.36617562925,741357.9416027911,37722.14210835537,715719.7348508849,36459.508158879165,691795.5331741372,35278.66226369396,669419.015180316,34171.906905817326,648444.7042784945,33132.48112678069,628744.8023293281,32154.422292289768,610206.583444545,31232.451639622508,592730.2356367306,30361.878966522992,576227.0630340799,29538.522828025623,560617.9802901584,28758.643375114774,545832.2452442262,28018.88555892057,531806.3869770556,27316.230880830117,518483.2949961883,26647.95622502038,505811.44198434526,26011.59858950695,493744.21780592675,25404.924752702642,482239.3566244285,24825.9050880676,471258.4422893879,24272.69087980587,460766.4797948666,23743.5946053975,450731.52273674257,23237.072741925895,441124.34841365664,22751.710727191858,431918.17361141765,22286.209767004977,423088.40524898254,21839.375229543843,414612.4209971896,21410.10640842004,406469.3757495612,20997.387469756057,398640.0304594705,20600.27942653047,391106.6003849404,20217.91300671907,383852.6202213583,19849.48230121845,376862.82396945334,19494.239093862543,370123.03769386583,19151.487789583367,363620.08358692063,18820.580868371097,357341.6939712088,18500.914802518917,351276.43406011787,18191.926382990598,345413.6324531187,17893.08940786638,339743.3184769945,17603.91169190544,334256.16559903417,17323.932361474624
0.20460921843687377,1599313.4976686637,78322.0456512016,1486196.046055365,73142.1027445556,1388022.914228919,68604.82258114532,1302016.0930668828,64597.59068821803,1226045.9395632995,61032.65195336211,1158452.4505405445,57840.60983167014,1097922.567739599,54965.864134769174,1043404.0381989632,52363.344887006344,994043.7246752462,49996.132105640856,949142.6352236149,47833.69327838762,908122.6139606494,45850.55927478948,870501.3113493945,44025.31651761559,835873.1285147871,42339.83065935584,803894.535720349,40778.64201010297,774272.6367527549,39328.489962593805,746756.1717320628,37977.93540574592,721128.3725601836,36717.058353990404,697201.2407121628,35537.21387381771,674810.9276248525,34430.833602764455,653813.9775293692,33391.2632248312,634084.2505494294,32412.62852562687,615510.3865791115,31489.7243308659,597993.7022105266,30617.921893491068,581446.4368300086,29793.09125044817,565790.2820703062,29011.535800244208,550955.1426111979,28269.936914557496,536878.0869514226,27565.306833203984,523502.45502167474,26894.948432363828,510777.0959510866,26256.420723795454,498655.7143662601,25647.50915468747,487096.30761148967,25066.19994649213,476060.6794708406,24510.657846128917,465514.01852830866,23979.206771638306,455424.5313593668,23470.312922297737,445763.122411518,22982.56999469708,436503.1137846332,22514.68620465875,427619.9992271742,22065.472862790855,419091.2275713118,21633.834290931278,410896.0115772506,21218.758899394485,403015.15877537924,20819.31127205471,395430.9214084452,20434.62512891021,388126.8630041615,20063.897054692978,381087.73946696083,19706.38089797322,374299.39287848317,19361.382758590702,367748.656449858,19028.256492554712,361423.2692830822,18706.399673143096,355311.7997804287,18395.24995508345,349403.5766952717,18094.28179565233,343688.62694943335,17803.003492473046,338157.61945479066,17520.954502890618
0.2092184368737475,1596224.9277413657,78140.8686932083,1485074.1994975707,73055.1455217353,1388395.3706812018,68590.96841137967,1303534.8166194793,64640.95671413547,1228450.3150612207,61121.11820685926,1161544.5504463904,57964.810174163336,1101550.215683056,55118.479717736016,1047448.9724082944,52538.60034192238,998413.174257471,50189.430390026915,953763.2272645477,48041.34710765172,912935.9017906002,46069.59095525453,875460.4491064477,44253.30695199799,840940.368424681,42574.80418729431,809039.3239338379,41018.97769197756,779470.1501002487,39572.852601154154,751986.1829954934,38225.221456713276,726374.3630964096,36966.3531779686,702449.7011275196,35787.75770550349,680050.8027041061,34681.99427695829,659036.2227463507,33642.51418067976,639281.4755566153,32663.530964192327,620676.5669882365,31739.912663160147,603123.9453532561,30867.091812025552,586536.7904557822,30040.98990506294,570837.577399213,29257.95367123751,555956.8650272861,28514.70106208983,541832.2690497526,27808.27526822698,528407.5878218653,27136.005405769152,515632.05494225275,26495.472770663913,503459.69771285815,25884.48176209479,491848.78437102155,25301.034738280934,480761.3460857626,24743.31019788094,470162.76218080724,24209.643784911736,460021.3990377992,23698.511699897652,450308.2947456976,23208.51616898733,440996.882874827,22738.37267921548,432062.7498272135,22286.898734439867,423483.4210962076,21853.00392471557,415238.1724953404,21435.681133529248,407307.86301833455,21033.998733637156,399674.7864926485,20647.093644214452,392322.53960653,20274.165140416488,385235.90423926176,19914.4693219093,378400.7423181501,19567.31415995778,371803.901673563,19232.05505368191,365433.1315728748,18908.09083544262,359277.00679195585,18594.860173275243,353324.8592341144,18291.838325078756,347566.71623548405,17998.534205078486,341993.2448063043,17714.487728065167
0.21382765531062126,1593068.1243026343,77957.46811712885,1483828.8166210358,72963.1554835332,1388609.5691454194,68570.23219821561,1304874.0824190485,64676.24255322257,1230663.0365964451,61200.75337562214,1164438.8499013942,58079.73868360999,1104978.0005646837,55261.59914569852,1051294.73677039,52704.286772446234,1002585.9946939723,50373.19265210054,958190.9508926803,48239.57149223078,917560.865274301,46279.35027508642,880236.2844400888,44472.216033515375,845829.5914847358,42800.90932019406,814011.4944064212,41250.67121905123,784500.4535988125,39808.80633077725,757054.3286486737,38464.33431468172,731463.7193067783,37207.70973503235,707546.6128643481,36030.59508556265,685144.0483882467,34925.67557676191,664116.5793590209,33886.506987762,644341.3682950898,32907.38989523943,625709.7854428123,31983.265094187824,608125.4123718102,31109.62615849489,591502.3729992659,30282.445951187605,575763.9310585669,29498.114555218806,560841.3056724424,28753.38660648419,546672.6664604913,28045.33640836473,533202.2772141431,27371.319518693996,520379.7631296824,26728.939745837633,508159.4812883957,26116.020685633335,496499.97780111246,25530.581086648297,485363.51801000594,24970.813456192816,474715.6785286123,24435.065420377738,464524.99182773154,23921.82343328817,454762.63563716004,23429.698496987603,445402.1607060815,22957.41360861886,436419.2515067678,22503.79269571905,427791.5153227115,22067.750837895244,419498.29586933984,21648.285603702327,411520.50818148087,21244.469357105958,403840.4919893413,20855.44240924602,396441.8812119476,20480.406909095484,389309.48753826355,20118.621381646775,382429.19635317766,19769.395834945768,375787.8735076794,19432.087368032928,369373.2816374757,19106.096220969528,363174.00490826985,18790.862215890604,357179.381214059,18485.861544656636,351379.44098128536,18190.603864352484,345764.85183997144,17904.62966675609
0.218436873747495,1589851.157554998,77772.18720656948,1482469.9145141016,72866.58423154183,1388676.358525325,68543.11922841068,1306044.9354028434,64703.97441469854,1232694.9857727392,61272.08497205564,1167145.8699272412,58185.912585886355,1108215.9816719487,55395.722732125934,1054950.8848565083,52860.88404410238,1006571.2236995685,50547.87670094357,962434.337515401,48428.80177164897,922005.5500956936,46480.25042182758,884836.4036211724,44682.43554892015,850547.953342213,43018.51743834217,818817.8014653557,41474.074680627964,789369.9289110223,40036.68510884943,761966.6450381263,38695.59095914761,736402.1579212085,37441.429146105336,712497.3969404822,36266.012343689945,690095.8120675596,35162.150046851835,669059.9414417311,34123.50134690705,649268.5881500499,33144.45305133138,630614.4836901872,32220.018199783695,613002.3429696901,31345.751102299022,596347.2363760789,30517.675844334586,580573.2202097691,29732.225832442833,565612.1788747743,28986.19244137126,551402.8415886677,28276.68120312425,537889.9436739289,27601.074276600564,525023.5082217681,26956.99817189814,512758.2284439446,26342.295890528112,501052.9346229784,25755.002792379255,489870.1324439224,25193.325620509728,479175.60179920605,24655.62421198329,468938.0470225225,24140.39550183808,459128.7910212085,23646.259491616802,449721.5070109284,23171.946906612906,440691.98256780294,22716.28830938165,432017.91154528566,22278.20447292731,423678.7100906968,21856.697846734067,415655.3535667208,21450.844973590716,407930.2316581853,21059.78973587659,400487.0193414171,20682.737327354454,393310.5617264532,20318.948861143846,386386.7710625927,19967.73653690042,379702.5344343648,19628.459300689847,373245.6308753684,19300.518939934896,367004.65679766,18983.356563389178,360968.9587793975,18676.449422564066,355128.57287735696,18379.308036581268,349474.1697370937,18091.473587187826
0.22304609218436874,1586581.3554554314,77585.33573684168,1481006.70217145,72765.84536006932,1388605.7838840855,68510.09593360919,1307057.6536337568,64724.64066896207,1234556.327916462,61335.604584282155,1169675.4697680683,58283.81547056826,1111273.6100648707,55521.31953241809,1058426.4123278868,53008.843083806045,1010377.3872374784,50713.91359375909,966501.4485691695,48609.44855556319,926277.5695087756,46672.68170166214,889267.9940965774,44884.336082307884,855102.2408601718,43227.98023828703,823464.6575061907,41689.52185425087,794084.6397946851,40256.80581971805,766728.872139048,38919.29241548015,741195.1186362134,37667.79758973532,717307.2147464798,36494.28178339387,694910.9972108917,35391.67703681449,673870.9733551244,34353.74451920865,654067.5776787311,33374.95641321086,635394.8983667417,32450.39743177684,617758.7824209706,31575.682263021507,601075.2478345399,30746.886016468907,585269.1462907523,29960.485342990978,570273.0314527205,29213.3083651162,556026.196890587,28502.491917094372,542473.8547036216,27825.44487926806,529566.4314036989,27179.816616915723,517258.96198354056,26563.469713300703,505510.5665593721,25974.456330393696,494283.9967510854,25410.9976464079,483545.2411941464,24871.465912854128,473263.1813816452,24354.368749882666,463409.2905009643,23858.33536079667,453957.3691264888,23382.104397579857,444883.31261140807,22924.513251264376,436164.90583014314,22484.4885756952,427781.64159157133,22061.037882091,419714.5595983694,21653.242065846658,411946.1032904731,21260.24874713993,404459.9922976521,20881.26632379508,397241.1085510388,20515.55864908365,390275.3943770196,20162.440259166582,383549.7611280429,19821.272085074368,377052.00710079126,19491.4575927882,370770.74365870253,19172.43930237475,364695.3286177873,18863.695643446015,358815.8060760646,18564.738109632788,353122.8519709773,18275.108679417423
0.2276553106212425,1583265.3772109551,77397.19340651584,1479447.6539714625,72661.31801425782,1388407.155109067,68471.59330305971,1307921.8106019052,64738.69500652284,1236256.5678818095,61391.770750757845,1172036.896648867,58373.89988674286,1114159.7729369388,55638.82968186964,1061729.7965763076,53148.58798627648,1014012.5350716598,50871.7095375242,970399.9075446648,48781.899445750736,930384.1333208475,46857.013104286816,893537.8708447673,45078.26844268022,859498.8961966041,43429.631040280874,827958.1550926015,41897.32940783819,798650.3524747103,40469.46938425059,771346.4724121559,39135.72478283265,745847.7816375847,37887.08725774722,721980.9843882677,36715.662573472015,699594.2786600539,35614.503535413234,678554.1241054494,34577.47210911169,658742.5761321511,33599.12494693499,640055.0737664495,32674.617813724366,622398.5936589935,31799.625368735007,605690.101428438,30970.273500365445,589855.2459288227,30183.081980239094,574827.253117177,29434.915646093992,560545.9848086509,28722.942669414377,546957.1343385447,28044.598736571745,534011.5364486767,27397.55618842357,521664.5729110977,26779.69733562132,509875.65874440625,26189.09130498318,498607.7965554272,25623.97388356931,487827.1886954759,25082.729917225734,477502.89866617264,24563.877893711273,467606.55462985154,24066.056400492034,458112.0890402107,23588.012196536758,448995.50936157204,23128.589678062504,440234.6956305362,22686.721551812007,431809.2212639525,22261.420557402318,423700.194057376,21851.772103611613,415890.11476880737,21456.927703005196,408362.7510597347,21076.099105715264,401103.0248823595,20708.55304702678,394096.9116689452,20353.60653512446,387331.34990501933,20010.622615284225,380794.1598596507,19679.006555239535,374473.9704089203,19358.202403661235,368360.1530276535,19047.689879856673,362442.7621433509,18746.98155808514,356712.48114820506,18455.620314437627
0.23226452905811623,1579909.2786565914,77208.01288043988,1477800.5755621395,72553.35007189713,1388089.1088358467,68428.00995355195,1308646.3316571424,64746.559292624595,1237804.6007739357,61441.01156741052,1174238.8311270834,58456.589704201084,1116882.8341362511,55748.66652740546,1064869.0329970196,53280.51793839061,1017484.2733441024,51021.64762903684,974136.9293641227,48946.52061378344,934332.074501989,47033.593738116026,897652.5005884152,45264.56497429537,863744.0389363198,43623.78598914597,832304.0872759828,42097.79800437532,803072.5543782415,40674.96177983321,775824.6481479143,39345.160179337276,750365.0837185163,38099.557234154294,726523.3957198787,36930.40156798842,704150.1166977313,35830.864937984865,683113.6405512951,34794.9087847323,663297.6318901277,33817.17328190176,644598.8735816787,32892.88458081227,626925.4683903512,32017.776861420094,610195.328563038,31188.02650374083,594334.900970243,30400.196236513228,579278.0860300042,29651.18754234967,564965.3168988093,28938.199929634662,551342.7718787903,28258.69594249413,538361.6980856546,27610.37098731619,525977.8284621291,26991.12721964591,514150.8774443777,26399.050867976635,502844.1031737038,25832.392478024507,492023.9262301055,25289.54964788813,481659.5965533798,24769.051895229743,471722.9015929711,24269.54735551033,462187.9098530329,23789.79105790698,453030.74492379307,23328.63456483276,444229.3858532653,22885.01679354724,435763.4903454408,22457.955865443244,427614.2377968004,22046.54185122575,419764.18962183275,21649.93029916486,412197.16468589753,21267.336449554383,404898.1279728227,20898.030051964506,397853.09087529226,20541.33071326675,391049.0217166137,20196.60371407883,384473.76529962587,19863.256239510178,378115.97043781314,19540.73397711862,371965.0245596812,19228.51804100805,366010.994593845,18926.12218616374,360244.5734421691,18633.090281569235
0.23687374749499,1576518.57051502,77018.02249303933,1476072.663039078,72442.26099360637,1387659.6643827106,68379.71489552372,1309239.5452046245,64748.62615094479,1239208.7581227345,61483.72705582187,1176289.4284897677,58532.28226446483,1119450.6712347232,55851.21857419615,1067851.66823012,53405.00897984937,1020799.7944714195,51164.089449488754,977719.3473713074,49103.65824867879,938127.8736533952,47202.75414858861,901618.0240736748,45443.540761302946,867843.4864658979,43810.74515899448,836507.9663088664,42291.21331868846,807356.4713932592,40873.55497956309,780168.3574464518,39547.85761267355,754751.7331311617,38305.45430484217,730938.9241952794,37138.73406176582,708582.7700099752,36040.98575353696,687553.5795718164,35006.26894159266,667736.6139173982,34029.30633560193,649029.9917184678,33105.39376944667,631342.9373313593,32230.324454741243,614594.3077069585,31400.32493815143,598711.3477150546,30612.00070569596,583628.6336036252,29862.289780197403,569287.1722318855,29148.42297433247,555633.6299250135,28467.889711555705,542619.669698707,27818.40852569802,530201.3794926563,27197.901508714956,518338.77715944254,26604.472103573113,506995.3804507826,26036.385742273156,496137.83225747047,25492.052912633622,485735.57299369585,24970.014305674475,475760.5533486682,24468.9277513327,466186.9817194638,23987.556696240208,456991.1015363066,23524.760015304804,448150.99443257664,23079.482980370496,439646.40582634514,22650.749235496554,431458.58999175014,22237.653650347096,423570.17212586163,21839.355941596565,415965.0252749745,21455.074967754073,408628.16028567846,21084.083615895535,401545.6272004404,20725.70420987628,394704.42673283,20379.304379013807,388092.4306404208,20044.293334253518,381698.30996919796,19720.11850568627,375511.47027636203,19406.262501159843,369521.99305238156,19102.24035077225,363720.58266100864,18807.597006379634
0.24148296593186375,1573098.2704012638,76827.4286539498,1474270.5561844544,72328.34438016123,1387126.2743530208,68327.05002933758,1309709.229218744,64745.26130563631,1240476.8499766588,61520.29131753702,1178196.3565956,58601.35034320392,1121870.709488201,55946.85126579008,1070684.8306677192,53522.41561639619,1023965.9046212765,51299.37652783513,981153.6381646516,49253.639887175,941777.6815404652,47364.807530876256,905440.276601575,45615.494736839435,871802.7727601014,43990.793571032424,840575.0409061013,42477.84697472865,811507.083792296,41065.507818378144,784382.3289642419,39744.06378316491,759012.2232935401,38505.01370466892,735231.8436531967,37340.88448758934,712896.3076501574,36245.080257350615,691877.819297109,35211.75731522827,672063.2223359583,34235.719890245855,653351.9622764342,33312.33276140917,635654.3796527096,32437.447648806192,618890.2733515719,31607.340907059537,602987.6854351102,30818.66054698217,587881.8686163438,30068.380995772197,573514.4051403323,29353.764308327234,559832.4517869053,28672.326781354568,546788.0904241559,28021.810112228177,534337.7672890194,27400.15639682766,522441.8071676205,26805.486383132833,511063.9910571411,26236.080496459344,500171.18783790356,25690.362232778698,489733.0320656354,25166.883582350456,479721.64128421433,24664.312199855598,470111.36731689324,24181.42008167303,460878.5768647421,23717.073547711578,452001.4574608418,23270.224355745173,443459.8454261423,22839.901801652275,435235.0729705564,22425.205680254414,427309.83199896663,22025.299999325274,419668.0525309535,21639.407354399216,412294.7939369786,21266.803884732315,405176.1474420086,20906.814741554477,398299.1485578932,20558.810008921344,391651.6982845518,20222.201025293016,385222.49207234866,19896.437060651824,379000.955668228,19581.00230970267,372977.1870797433,19275.41316662535,367141.9039869768,18979.21575109354
