Liquid_Filling,Geometric_AR,Thermal_AR,BOR
0.05,0.01,0.1262338080995961,0.07445456660232708
0.05,0.014974874371859296,0.1777615866337636,0.06046285514229677
0.05,0.019949748743718593,0.2235182033649276,0.052890644385520824
0.05,0.02492462311557789,0.26442814681501575,0.04813683581695827
0.05,0.029899497487437185,0.30122610904391156,0.04488659756693947
0.05,0.03487437185929648,0.3345044247664875,0.042538217779950704
0.05,0.03984924623115578,0.3647463698493534,0.04077513384849363
0.05,0.04482412060301508,0.392350331436455,0.03941409233270399
0.05,0.049798994974874375,0.41764774775356506,0.038341323099230884
0.05,0.05477386934673367,0.4409166508794553,0.037482308830514066
0.05,0.05974874371859297,0.46239203450612315,0.03678613058745217
0.05,0.06472361809045227,0.4822738885251826,0.03621677814135005
0.05,0.06969849246231155,0.5007334937746336,0.035748049746572974
0.05,0.07467336683417086,0.5179184027146125,0.03536041829308578
0.05,0.07964824120603015,0.5339564161729696,0.035039030396200266
0.05,0.08462311557788944,0.5489587850795419,0.034772386506888076
0.05,0.08959798994974874,0.5630228081686978,0.03455144545958633
0.05,0.09457286432160804,0.5762339547438086,0.034369001950324884
0.05,0.09954773869346734,0.5886676109419406,0.034219244367372115
0.05,0.10452261306532663,0.6003905252547466,0.03409743469757931
0.05,0.10949748743718593,0.6114620121053526,0.033999672844504225
0.05,0.11447236180904523,0.6219349594855931,0.03392272044032274
0.05,0.11944723618090453,0.631856676912825,0.03386386730720092
0.05,0.12442211055276382,0.641269612491432,0.03382082898075378
0.05,0.12939698492462312,0.6502119620751108,0.033791667168936446
0.05,0.1343718592964824,0.6587181890206555,0.03377472736995091
0.05,0.13934673366834172,0.6668194694861583,0.033768589480336564
0.05,0.144321608040201,0.6745440754311492,0.03377202833404103
0.05,0.1492964824120603,0.6819177052643279,0.03378398193272769
0.05,0.1542713567839196,0.6889637703017528,0.03380352566233613
0.05,0.1592462311557789,0.6957036437791033,0.03382985122253834
0.05,0.1642211055276382,0.7021568780114908,0.033862249303500125
0.05,0.1691959798994975,0.7083413943539938,0.03390009524335835
0.05,0.17417085427135678,0.7142736498588825,0.03394283709305834
0.05,0.1791457286432161,0.7199687838999211,0.03398998563176381
0.05,0.18412060301507538,0.7254407475178588,0.03404110596924981
