LF,Optimal_AR,Min_BOR
0.05,0.4951951951951952,0.003933931058279809
0.05452261306532664,0.4945945945945946,0.003609497876039939
0.05904522613065327,0.49419419419419425,0.0033347628585617644
0.0635678391959799,0.4935935935935936,0.003099118485513023
0.06809045226130653,0.49299299299299304,0.0028947754861763856
0.07261306532663317,0.49259259259259264,0.002715885140973192
0.0771356783919598,0.49199199199199206,0.0025579704248557007
0.08165829145728642,0.49139139139139143,0.002417546167803841
0.08618090452261307,0.490990990990991,0.002291858746566444
0.0907035175879397,0.4903903903903904,0.002178703759451439
0.09522613065326634,0.48978978978978976,0.002076295589070887
0.09974874371859296,0.48938938938938936,0.00198317241953991
0.10427135678391959,0.4887887887887888,0.0018981261033329349
0.10879396984924623,0.4883883883883884,0.0018201493477924065
0.11331658291457286,0.4877877877877878,0.001748395683223347
0.11783919597989949,0.48738738738738735,0.0016821485952418723
0.12236180904522612,0.4867867867867868,0.001620797478293956
0.12688442211055276,0.4861861861861862,0.001563818819724209
0.1314070351758794,0.4857857857857858,0.0015107611323812182
0.135929648241206,0.48518518518518516,0.001461233064481804
0.14045226130653266,0.48478478478478476,0.0014148936262538326
0.1449748743718593,0.4841841841841842,0.0013714444166976387
0.1494974874371859,0.4837837837837838,0.0013306231084470783
0.15402010050251255,0.4831831831831832,0.001292198219795974
0.1585427135678392,0.48278278278278275,0.0012559646477730705
0.1630653266331658,0.4823823823823824,0.0012217400797282507
0.16758793969849245,0.48178178178178177,0.0011893618440478205
0.1721105527638191,0.4813813813813814,0.0011586844062001721
0.1766331658291457,0.4807807807807808,0.0011295771046642108
0.18115577889447235,0.4803803803803804,0.0011019223484553975
0.185678391959799,0.4797797797797798,0.0010756139918824737
0.19020100502512563,0.4793793793793794,0.0010505559844426545
0.19472361809045224,0.478978978978979,0.0010266612115416313
0.19924623115577889,0.4783783783783784,0.0010038504449526513
0.20376884422110553,0.477977977977978,0.0009820515163294445
0.20829145728643214,0.4773773773773774,0.000961198510119147
0.21281407035175878,0.476976976976977,0.0009412311113163245
0.2173366834170854,0.4765765765765766,0.0009220940399604416
0.22185929648241204,0.47597597597597596,0.0009037365091502473
0.22638190954773868,0.47557557557557556,0.0008861117949196121
0.23090452261306532,0.47517517517517516,0.0008691768409462915
0.23542713567839194,0.4745745745745746,0.0008528918893403902
0.23994974874371858,0.4741741741741741,0.0008372201814689525
0.24447236180904522,0.4737737737737737,0.0008221276869675628
0.24899497487437183,0.47317317317317314,0.0008075828418559064
0.2535175879396985,0.47277277277277274,0.000793556326056429
0.2580402010050251,0.47237237237237234,0.0007800208919957992
0.26256281407035176,0.47197197197197194,0.0007669511609895189
0.2670854271356784,0.4713713713713714,0.0007543234719227206
0.271608040201005,0.470970970970971,0.0007421157367963671
0.2761306532663316,0.4705705705705706,0.0007303073246103834
0.28065326633165827,0.4701701701701702,0.0007188789285547225
0.2851758793969849,0.4697697697697698,0.000707812466578465
0.28969849246231155,0.46916916916916923,0.0006970909816514418
0.2942211055276382,0.46876876876876883,0.0006866985662878615
0.2987437185929648,0.4683683683683684,0.0006766202749238263
0.3032663316582914,0.467967967967968,0.0006668420521334724
0.30778894472361806,0.4675675675675676,0.0006573506686081106
0.3123115577889447,0.466966966966967,0.0006481336607382889
0.31683417085427135,0.46656656656656653,0.0006391792745633285
0.321356783919598,0.4661661661661662,0.0006304764237589447
0.3258793969849246,0.4657657657657657,0.0006220146341130329
0.3304020100502512,0.4653653653653654,0.0006137840049165918
0.33492462311557786,0.464964964964965,0.0006057751702427284
0.3394472361809045,0.4645645645645645,0.0005979792633209987
0.34396984924623114,0.4641641641641642,0.0005903878837222765
0.3484924623115578,0.46376376376376377,0.0005829930670988471
0.35301507537688437,0.4631631631631632,0.0005757872564572941
0.357537688442211,0.46276276276276274,0.0005687632779379115
0.36206030150753765,0.46236236236236233,0.0005619143171500103
0.3665829145728643,0.461961961961962,0.0005552338950163123
0.37110552763819094,0.4615615615615616,0.0005487158483080013
0.3756281407035176,0.4611611611611612,0.0005423543106304811
0.38015075376884416,0.4607607607607607,0.0005361436947664185
0.3846733668341708,0.4603603603603603,0.0005300786762660511
0.38919597989949745,0.45995995995996,0.0005241541781767796
0.3937185929648241,0.45955955955955957,0.0005183653568286391
0.39824120603015073,0.45915915915915917,0.0005127075885901185
0.40276381909547737,0.45875875875875877,0.0005071764575133401
0.40728643216080396,0.45835835835835836,0.0005017677438031054
0.4118090452261306,0.45795795795795796,0.0004964774130458668
0.41633165829145724,0.45755755755755756,0.0004913016061407446
0.4208542713567839,0.45715715715715716,0.00048623662987989924
0.4253768844221105,0.45675675675675675,0.00048127894812949323
0.42989949748743717,0.45635635635635635,0.0004764251735675777
0.4344221105527638,0.4561561561561562,0.0004716720583974691
0.4389447236180904,0.4557557557557558,0.00046701649150810245
0.44346733668341703,0.4553553553553554,0.0004624554874712509
0.4479899497487437,0.45495495495495497,0.000457986181374966
0.4525125628140703,0.45455455455455457,0.0004536058228488497
0.45703517587939696,0.45415415415415417,0.0004493117703965543
0.4615577889447236,0.45375375375375376,0.0004451014860620384
0.4660804020100502,0.45335335335335336,0.00044097253040565145
0.47060301507537683,0.45315315315315313,0.0004369225574494669
0.47512562814070347,0.45275275275275273,0.0004329493085965863
0.4796482412060301,0.4523523523523524,0.00042905061508606107
0.48417085427135675,0.451951951951952,0.0004252243868228607
0.4886934673366834,0.4515515515515516,0.0004214686110922794
0.49321608040201,0.4511511511511512,0.0004177813490107966
0.4977386934673366,0.450950950950951,0.00041416073082652934
0.5022613065326633,0.4505505505505506,0.00041060495445861546
0.5067839195979899,0.45015015015015014,0.00040711228533009495
0.5113065326633165,0.4497497497497498,0.00040368104809764455
0.5158291457286431,0.4493493493493494,0.00040030962618060976
0.5203517587939698,0.44914914914914916,0.00039699645600117144
0.5248743718592964,0.4487487487487488,0.00039374003313618066
0.5293969849246231,0.44834834834834836,0.00039053890344768657
0.5339195979899497,0.44794794794794796,0.00038739166115132987
0.5384422110552763,0.4477477477477478,0.0003842969439771693
0.542964824120603,0.4473473473473473,0.00038125344140370977
0.5474874371859296,0.4469469469469469,0.0003782598844449869
0.5520100502512563,0.44674674674674675,0.0003753150434962382
0.5565326633165829,0.4463463463463463,0.00037241772792151093
0.5610552763819094,0.4459459459459459,0.00036956679131900554
0.5655778894472361,0.4457457457457457,0.00036676112021749585
0.5701005025125627,0.4453453453453453,0.00036399963193551135
0.5746231155778894,0.4449449449449449,0.0003612812875374664
0.579145728643216,0.44474474474474474,0.00035860507532228987
0.5836683417085426,0.44434434434434433,0.00035597001045585276
0.5881909547738693,0.44394394394394393,0.00035337514829599794
0.5927135678391959,0.44374374374374376,0.0003508195663820916
0.5972361809045226,0.4433433433433433,0.00034830236914534427
0.6017587939698492,0.44294294294294295,0.00034582269472037316
0.6062814070351759,0.4427427427427427,0.0003433796989111837
0.6108040201005025,0.4423423423423424,0.0003409725681407775
0.6153266331658291,0.4421421421421422,0.0003386005122316349
0.6198492462311557,0.4417417417417418,0.00033626275847587666
0.6243718592964823,0.4413413413413414,0.00033395856622236986
0.628894472361809,0.44114114114114117,0.0003316872059058396
0.6334170854271356,0.4407407407407408,0.0003294479771661233
0.6379396984924622,0.4405405405405406,0.0003272401943635983
0.6424623115577889,0.4401401401401402,0.00032506319267039765
0.6469849246231155,0.43993993993994,0.00032291632748840946
0.6515075376884422,0.4395395395395396,0.0003207989678470876
0.6560301507537688,0.4393393393393394,0.00031871050660902864
0.6605527638190954,0.438938938938939,0.00031665034515288384
0.6650753768844221,0.4387387387387388,0.0003146179104744277
0.6695979899497487,0.43833833833833835,0.0003126126349735377
0.6741206030150753,0.43813813813813823,0.00031063397666328447
0.6786432160804019,0.4377377377377378,0.000308681397771197
0.6831658291457285,0.43753753753753755,0.00030675438442464566
0.6876884422110552,0.43713713713713714,0.00030485242763633367
0.6922110552763818,0.43693693693693697,0.00030297503891195307
0.6967336683417085,0.43653653653653657,0.0003011217371203689
0.7012562814070351,0.43633633633633634,0.000299292056594617
0.7057788944723618,0.43593593593593594,0.00029748554323685286
0.7103015075376884,0.43573573573573576,0.0002957017518095295
0.714824120603015,0.43553553553553553,0.00029394025441064806
0.7193467336683417,0.43513513513513513,0.00029220062432078566
0.7238693467336683,0.43493493493493496,0.00029048245650549937
0.7283919597989948,0.43453453453453456,0.0002887853477988145
0.7329145728643215,0.4343343343343344,0.00028710890807447743
0.7374371859296481,0.43413413413413415,0.0002854527589437531
0.7419597989949748,0.43373373373373375,0.0002838165239092601
0.7464824120603014,0.4335335335335335,0.0002821998450464047
0.7510050251256281,0.4331331331331331,0.000280602367479547
0.7555276381909547,0.43293293293293295,0.00027902374341232106
0.7600502512562813,0.43273273273273277,0.00027746363925759134
0.764572864321608,0.43233233233233237,0.0002759217241416515
0.7690954773869346,0.43213213213213214,0.00027439767548688524
0.7736180904522613,0.43193193193193197,0.00027289118213226954
0.7781407035175879,0.4315315315315315,0.00027140193620412236
0.7826633165829145,0.43133133133133134,0.00026992963650959527
0.7871859296482411,0.43113113113113116,0.00026847399324977375
0.7917085427135677,0.43093093093093093,0.00026703472040167097
0.7962311557788944,0.4305305305305306,0.000265611534908794
0.800753768844221,0.43033033033033036,0.00026420416712302406
0.8052763819095476,0.43013013013013013,0.00026281235007727204
0.8097989949748743,0.4297297297297297,0.00026143582156193574
0.8143216080402009,0.42952952952952955,0.00026007432529684404
0.8188442211055276,0.4293293293293293,0.00025872761383432716
0.8233668341708542,0.42912912912912915,0.0002573954430019139
0.8278894472361809,0.4287287287287287,0.0002560775731587787
0.8324120603015075,0.4285285285285286,0.0002547737694885921
0.8369346733668341,0.42832832832832834,0.0002534838054914464
0.8414572864321607,0.4281281281281281,0.00025220745748969484
0.8459798994974873,0.4279279279279279,0.0002509445065901635
0.850502512562814,0.4275275275275275,0.0002496947371057508
0.8550251256281406,0.4273273273273273,0.00024845793995651084
0.8595477386934672,0.4271271271271271,0.00024723391079125207
0.8640703517587939,0.4269269269269269,0.00024602244862036805
0.8685929648241205,0.4267267267267267,0.0002448233566414733
0.8731155778894472,0.4265265265265265,0.00024363644213082347
0.8776381909547738,0.4261261261261261,0.00024246151466006762
0.8821608040201004,0.42592592592592593,0.00024129839099990743
0.8866834170854271,0.4257257257257257,0.00024014689017128147
0.8912060301507537,0.4255255255255255,0.00023900683474209483
0.8957286432160803,0.4253253253253253,0.00023787805086282384
0.9002512562814069,0.42512512512512507,0.0002367603681752891
0.9047738693467335,0.4249249249249249,0.0002356536197236747
0.9092964824120602,0.4247247247247247,0.00023455764186587345
0.9138190954773868,0.4243243243243243,0.0002334722731124339
0.9183417085427135,0.4241241241241241,0.00023239735734875328
0.9228643216080401,0.42392392392392386,0.00023133274035110526
0.9273869346733667,0.4237237237237237,0.00023027827084000084
0.9319095477386934,0.4235235235235235,0.00022923380037213428
0.93643216080402,0.4233233233233233,0.00022819918319914035
0.9409547738693467,0.4231231231231231,0.00022717427607142903
0.9454773869346733,0.4229229229229229,0.00022615893793991685
0.95,0.4227227227227227,0.0002251530294551459
