Geometric_AR,BOR_LF_0.05,BOR_LF_0.50,BOR_LF_0.95,Thermal_AR_LF_0.05,Thermal_AR_LF_0.50,Thermal_AR_LF_0.95
0.2,0.014778987416548468,0.0014890657508538055,0.0007892408133286992,0.13664854626539305,0.14247515242159403,0.1482236403167249
0.24848484848484853,0.013205484385322767,0.0013327814319985495,0.0007074491039896842,0.1643336916031181,0.1711068169645319,0.17777103188010682
0.296969696969697,0.012095866845491202,0.00122279221849891,0.0006499746063031238,0.1902989053291268,0.19788878365949322,0.20533769321625814
0.3454545454545455,0.011269602610253115,0.0011410669695323672,0.0006073394326206053,0.21469958505401573,0.22299463786897974,0.23111628268453271
0.393939393939394,0.010630059355687371,0.0010779566440023906,0.0005744729299593021,0.23767296651387723,0.24657691511400984,0.25527526953414903
0.44242424242424244,0.010120527042713134,0.0010278000292384126,0.0005484008424407513,0.2593406979385125,0.2687701942566032,0.27796261090891305
0.49090909090909096,0.00970539072412688,0.0009870427501907585,0.000527256282054885,0.27981099002429344,0.28969366226865945,0.2993087793864039
0.5393939393939394,0.009361086969541639,0.0009533338540167765,0.0005098047757015501,0.29918042031153275,0.3094532523331111,0.319429270393506
0.5878787878787879,0.009071367183792556,0.0009250526939700484,0.0004951955674702191,0.31753545479808126,0.3281434355590726,0.3384266905471899
0.6363636363636365,0.008824643042667883,0.0009010438155556947,0.0004828222781097291,0.33495373702809433,0.3458487299146733,0.3563925062747573
0.6848484848484849,0.008612415501286164,0.0008804600801505321,0.00047224046401707814,0.35150518500622496,0.362644977035811,0.3734085154087782
0.7333333333333334,0.008428302393323608,0.0008626655755559764,0.00046311660221822756,0.3672529285082658,0.37860042748624995,0.3895480915984894
0.781818181818182,0.008267413449901196,0.0008471732231151349,0.0004551953110028132,0.38225411321489616,0.3937766671517621,0.40487724140353326
0.8303030303030304,0.008125935526587835,0.000833603376073344,0.00044827760178550724,0.39656059321854675,0.40822941123820417,0.41945550614512844
0.8787878787878789,0.008000849622152414,0.0008216555771323445,0.00044220604558982505,0.41021952956309,0.422009187425168,0.43333673446768833
0.9272727272727274,0.007889733106436285,0.000811088823141585,0.0004368544091589192,0.4232739093566501,0.4351619258115509,0.44656974672398086
